Date,PositiveReturn,PredictedValue,PredictedMinusActual,EquityPriceLevel,EquityPriceReturns,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC,Equity_Position,Strategy_Cum_Rtn,Equity_Cum_Rtn
2018-12-17,0,1,1,242.2222443,-0.019618346,0.0,0.008,0.012658228,0.0,0.005082592,-0.019618346,0.980381654,0.980381654
2018-12-18,0,1,1,241.9566498,-0.001096491,-0.023622047,-0.015873016,-0.0125,-0.035573123,-0.01011378,-0.001096491,0.9793066743398239,0.9793066743398239
2018-12-19,0,1,1,238.3331451,-0.014975843,0.0,0.008064516,0.0,-0.004098361,0.003831418,-0.014975843,0.9646407313360585,0.9646407313360585
2018-12-20,0,0,0,234.4535675,-0.016277961,-0.010752688,-0.016,-0.012658228,-0.016460905,-0.006361323,-0.0,0.9646407313360585,0.9489383471323587
2018-12-21,0,1,1,229.649765,-0.020489356,-0.02173913,-0.008130081,-0.006410256,-0.029288703,-0.008962868,-0.020489356,0.9448758639796137,0.9294952115159122
2018-12-24,0,1,1,223.5817108,-0.02642308,-0.008333333,0.0,-0.006451613,-0.017241379,0.002583979,-0.02642308,0.9199093334356112,0.9049350851824103
2018-12-26,1,1,0,234.8781433,0.05052485,0.039215686,0.008196721,0.012987013,0.048245614,0.029639175,0.05052485,0.9663876145210454,0.9506567946209887
2018-12-27,1,0,-1,236.6813965,0.007677399,0.0,0.0,0.0,-0.0041841,0.0,0.0,0.9663876145210454,0.9579553661453551
2018-12-28,0,0,0,236.3761139,-0.001289846,0.04851752,0.024390244,0.025641026,0.06302521,0.03379224,-0.0,0.9663876145210454,0.956719751248154
2018-12-31,1,1,0,238.4464569,0.008758681,0.025706941,0.023809524,0.025,0.035573123,0.01937046,0.008758681,0.9748518953589862,0.9650993543557359
2019-01-02,1,1,0,238.694519,0.001040326,0.030075188,0.031007752,0.024390244,0.034351145,0.028503563,0.001040326,0.9758660591318775,0.9661033723066554
2019-01-03,0,0,0,232.9985809,-0.023862878,0.01703163,0.007518797,0.011904762,0.025830258,0.012702079,-0.0,0.9758660591318775,0.9430493653979132
2019-01-04,1,0,-1,240.8030853,0.033495931,0.016746411,0.014925373,0.011764706,0.014388489,0.01368301,0.0,0.9758660591318775,0.9746376818708755
2019-01-07,1,0,-1,242.7017059,0.007884536,0.018823529,0.022058824,0.023255814,0.021276596,0.023622047,0.0,0.9758660591318775,0.9823222477605429
2019-01-08,1,1,0,244.9819794,0.009395375,-0.020785219,-0.007194245,-0.005681818,-0.027777778,-0.012087912,0.009395375,0.9850346867071936,0.9915515336490961
2019-01-09,1,1,0,246.1268921,0.004673457,0.011792453,0.0,0.005714286,0.010714286,0.011123471,0.004673457,0.9896382039590281,0.9961855071048892
2019-01-10,1,1,0,246.9951324,0.003527612,-0.006993007,0.0,-0.005681818,-0.010600707,-0.00220022,0.003527612,0.9931292635629725,0.9996996630539785
2019-01-11,1,0,-1,247.0905609,0.000386358,0.011737089,0.014492754,0.017142857,0.014285714,0.009922822,0.0,0.9931292635629725,1.0000859050163968
2019-01-14,0,1,1,245.5830841,-0.006100908,-0.013921114,0.007142857,0.005617978,-0.017605634,-0.002183406,-0.006100908,0.9870702732938671,0.9939844729177951
2019-01-15,1,1,0,248.3976135,0.0114606,-0.007058824,0.007092199,0.005586592,-0.010752688,0.001094092,0.0114606,0.9983826908679787,1.0053761313681167
2019-01-16,1,1,0,248.9987183,0.00241993,0.016587678,0.021126761,0.022222222,0.014492754,0.006557377,0.00241993,1.0007987070930908,1.0078090712296983
2019-01-17,1,1,0,250.8878021,0.007586721,-0.020979021,-0.006896552,-0.005434783,-0.025,-0.018458198,0.007586721,1.0083914876609668,1.0154550374743871
2019-01-18,1,1,0,254.2270966,0.013309912,0.021428571,0.013888889,0.016393443,0.032967033,0.013274336,0.013309912,1.0218130896232833,1.0289706546631279
