Date,Positive Return,Predicted Value,Predicted minus Actual,Close,daily_return,Positive Return,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC,SPY_Position,Strategy_Cum_Rtn,SPY_Cum_Rtn
2012-01-03,1,1,0,105.646728515625,0.015936106784703252,1,7.23,2.57,3.15,5.1,13.39,0.015936106784703252,1.0159361067847033,1.0159361067847033
2021-05-11,0,1,1,411.5408630371094,-0.008924723564850745,0,3.26,0.93,1.15,2.36,6.37,-0.008924723564850745,1.0068691578720992,1.0068691578720992
2021-01-13,1,0,-1,376.11083984375,0.002693043265809436,1,3.85,1.01,1.27,2.78,7.79,0.0,1.0068691578720992,1.0095807000772579
2014-09-11,1,1,0,174.67184448242188,0.0011496264391865907,1,4.01,1.13,1.5,2.78,7.42,0.0011496264391865907,1.0080266812767904,1.0107413407425592
2015-03-10,0,1,1,180.57980346679688,-0.016221874321726393,0,4.51,1.3,1.76,2.95,8.69,-0.016221874321726393,0.9916745991401713,0.9943452217412602
2018-05-09,1,1,0,253.3451690673828,0.00966579142829116,1,3.46,1.17,1.48,2.3,7.18,0.00966579142829116,1.0012599189801945,1.0039563552623292
2017-06-22,0,1,1,225.0991973876953,-0.00045274735728539905,0,3.85,1.17,1.49,2.35,8.62,-0.00045274735728539905,1.0008066011979204,1.0035018166756542
2016-04-01,1,0,-1,187.0100860595703,0.00681214254303919,1,7.05,1.7,2.31,4.28,17.77,0.0,1.0008066011979204,1.0103378140930475
2020-02-20,0,1,1,327.5685729980469,-0.004108166184127127,0,3.57,1.02,1.31,2.04,9.84,-0.004108166184127127,0.9966951213620279,1.0061871784506455
2014-08-06,1,0,-1,167.49488830566406,0.0003125707669784372,1,4.17,1.12,1.52,2.99,7.43,0.0,0.9966951213620279,1.0065016831487377
2021-05-21,0,0,0,412.2661743164063,-0.0008187004829141031,0,3.42,0.92,1.14,2.5,6.52,-0.0,0.9966951213620279,1.00567765973469
2016-08-23,1,1,0,198.92979431152344,0.0020134708942509683,1,5.18,1.41,1.84,3.23,12.62,0.0020134708942509683,0.9987019379793323,1.007702562431564
2013-02-05,1,1,0,127.9356689453125,0.010097855883219653,1,5.01,1.49,1.97,3.51,8.9,0.010097855883219653,1.0087866862193398,1.0178781976801492
2016-01-27,0,1,1,169.15560913085938,-0.010883175743087947,0,7.83,1.99,2.76,4.94,18.07,-0.010883175743087947,0.9978078834259274,1.0068004503697385
2015-10-19,1,0,-1,181.77670288085935,0.0004916409284436707,1,6.18,1.72,2.31,4.16,12.56,0.0,0.9978078834259274,1.0072954346779157
