Date,EquityPriceLevel,EquityPriceReturns,PositiveReturn,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC
2011-11-11,104.2892685,0.018822354,1,-0.007792208,-0.004115226,-0.006825939,-0.010344828,-0.005216095
2011-11-14,103.3012314,-0.009474005,0,-0.023560209,-0.016528926,-0.010309278,-0.022648084,-0.02247191
2011-11-15,103.8117294,0.004941838,1,-0.020107239,-0.016806723,-0.010416667,-0.023172906,-0.014559387
2011-11-16,102.164978,-0.015862865,0,-0.002735978,-0.008547009,-0.007017544,0.0,-0.010108865
2011-11-17,100.5429306,-0.015876746,0,-0.012345679,-0.004310345,-0.007067138,-0.012773723,-0.008641005
2011-11-18,100.4358673,-0.001064852,0,-0.051388889,-0.051948052,-0.042704626,-0.057301294,-0.054675119
2011-11-21,98.52563477,-0.019019426,0,0.002928258,-0.00913242,-0.003717472,0.005882353,-0.000838223
2011-11-22,98.13861847,-0.003928077,0,0.032116788,0.023041475,0.018656716,0.023391813,0.038590604
2011-11-23,95.9731369,-0.02206554,0,0.04950495,0.031531532,0.029304029,0.053333333,0.046849758
2011-11-25,95.79202271,-0.001887134,0,-0.009433962,-0.004366812,-0.003558719,-0.01084991,-0.008487654
2011-11-28,98.56678772,0.028966556,1,-0.013605442,-0.004385965,0.0,-0.014625229,-0.007782101
2011-11-29,98.84674072,0.002840237,1,0.00137931,0.004405286,-0.003571429,0.0,0.001568627
2011-11-30,102.914238,0.041149534,1,0.004132231,0.004385965,0.003584229,0.005565863,0.003132341
2011-12-01,102.8977814,-0.000159906,0,-0.008230453,0.004366812,0.0,-0.011070111,0.0
2011-12-02,102.8072128,-0.00088018,0,0.034578147,0.026086957,0.025,0.037313433,0.039032006
2011-12-05,103.9269943,0.010892052,1,-0.002673797,0.004237288,0.003484321,-0.005395683,0.000751315
2011-12-06,103.9599457,0.000317063,1,0.0,0.0,0.0,0.0,0.0
2011-12-07,104.3469315,0.003722451,1,-0.002680965,0.008438819,0.006944444,-0.001808318,-0.006006006
2011-12-08,102.0578995,-0.021936745,0,0.00672043,0.008368201,0.010344828,0.009057971,0.006797583
2011-12-09,103.7870255,0.016942598,1,0.006675567,0.012448133,0.006825939,0.005385996,0.0060015
2011-12-12,102.2719879,-0.014597563,0,0.01061008,0.016393443,0.013559322,0.0125,0.013422819
2011-12-13,101.3168793,-0.009338907,0,-0.001312336,0.004032258,0.0,-0.005291005,0.008094187
2011-12-14,100.2382431,-0.010646165,0,0.023653088,0.024096386,0.016722408,0.024822695,0.021167883
2011-12-15,100.6005325,0.003614283,1,0.014120668,0.023529412,0.013157895,0.015570934,0.012866333
2011-12-16,100.7496872,0.001482643,1,0.016455696,0.011494253,0.00974026,0.018739353,0.014114326
2011-12-19,99.67249298,-0.010691787,0,-0.00373599,0.003787879,0.003215434,-0.005016722,-0.001391788
2011-12-20,102.6886139,0.030260314,1,-0.00625,0.003773585,0.0,-0.006722689,-0.008362369
2011-12-21,102.8874588,0.001936387,1,0.0,0.003759398,0.003205128,0.001692047,-0.002108222
2011-12-22,103.7989349,0.008858962,1,-0.020125786,-0.003745318,0.003194888,-0.027027027,0.002816901
2011-12-23,104.7269592,0.008940596,1,-0.01283697,-0.007518797,-0.003184713,-0.013888889,-0.011235955
2011-12-27,104.8098145,0.000791155,1,-0.00520156,-0.015151515,-0.009584665,-0.003521127,-0.007102273
2011-12-28,103.4343491,-0.013123441,0,-0.011764706,-0.015384615,-0.012903226,-0.014134276,-0.012160229
2011-12-29,104.5032501,0.010334101,1,-0.007936508,0.0,-0.003267974,-0.007168459,-0.005792904
2011-12-30,103.9895401,-0.004915732,0,0.005333333,0.0,0.003278689,0.005415162,0.002184996
2012-01-03,105.6467285,0.015936107,1,0.00265252,0.0078125,0.006535948,0.003590664,0.005813953
2012-01-04,105.8124466,0.001568606,1,-0.003968254,0.003875969,0.003246753,-0.005366726,-0.00216763
2012-01-05,106.0941696,0.002662475,1,0.009296149,0.007722008,0.003236246,0.007194245,0.010137581
2012-01-06,105.8207245,-0.002577381,0,0.0,0.0,0.0,0.001785714,-0.001433692
2012-01-09,106.0775909,0.002427373,1,0.003947368,0.003831418,0.003225806,0.007130125,0.000717875
2012-01-10,106.9973679,0.008670795,1,-0.001310616,0.0,0.0,-0.001769912,-0.004304161
2012-01-11,107.0553513,0.000541914,1,0.003937008,0.0,0.0,0.007092199,0.000720461
2012-01-12,107.312233,0.002399522,1,0.0,0.0,0.0,0.0,0.002159827
2012-01-13,106.7570343,-0.005173676,0,-0.014379085,0.0,0.0,-0.017605634,-0.00862069
2012-01-17,107.1713715,0.003881123,1,-0.0066313,0.0,-0.003215434,-0.008960573,-0.003623188
2012-01-18,108.3562469,0.011055895,1,-0.005340454,-0.007633588,-0.003225806,-0.005424955,-0.004363636
2012-01-19,108.9279633,0.005276266,1,-0.010738255,0.0,-0.003236246,-0.012727273,-0.006574142
2012-01-20,109.3339767,0.003727357,1,0.0,0.0,0.0,0.0,0.0
2012-01-23,109.0522766,-0.00257651,0,0.004070556,-0.007692308,0.0,0.007366483,-0.000735294
2012-01-24,108.9279633,-0.001139942,0,-0.005405405,-0.003875969,-0.003246753,-0.003656307,-0.00147167
2012-01-25,109.8394699,0.008367976,1,0.002717391,-0.003891051,0.0,0.0,-0.00073692
2012-01-26,109.2760315,-0.005129653,0,-0.043360434,-0.0078125,0.013029316,-0.086238532,-0.033185841
2012-01-27,109.2262955,-0.000455141,0,-0.008498584,-0.003937008,-0.003215434,-0.008032129,-0.003813883
2012-01-30,108.8534241,-0.003413751,0,0.0,-0.003952569,-0.003225806,-0.002024291,0.003062787
2012-01-31,108.8119888,-0.000380652,0,0.0,-0.003968254,-0.003236246,0.002028398,-0.001526718
2012-02-01,109.7648849,0.008757271,1,-0.001428571,-0.003984064,0.0,-0.002024291,-0.002293578
2012-02-02,109.9388885,0.001585239,1,-0.010014306,-0.008,-0.006493506,-0.00811359,-0.011494253
2012-02-03,111.4800568,0.014018409,1,0.00867052,0.004032258,0.003267974,0.008179959,0.004651163
2012-02-06,111.4055023,-0.00066877,0,-0.007163324,-0.008032129,-0.006514658,-0.002028398,-0.006944444
2012-02-07,111.6872253,0.002528807,1,0.012987013,0.004048583,0.0,0.016260163,0.009324009
2012-02-08,112.0186691,0.002967607,1,-0.004273504,-0.008064516,-0.003278689,-0.004,-0.005388761
2012-02-09,112.159523,0.001257415,1,-0.008583691,-0.008130081,-0.006578947,-0.012048193,-0.003095975
2012-02-10,111.3309479,-0.00738747,0,-0.023088023,-0.016393443,-0.009933775,-0.024390244,-0.02173913
2012-02-13,112.159523,0.007442451,1,-0.011816839,-0.008333333,-0.010033445,-0.00625,-0.006349206
2012-02-14,112.0186691,-0.001255835,0,-0.010463378,-0.016806723,-0.010135135,-0.014675052,-0.007188498
2012-02-15,111.4966507,-0.004660102,0,0.0,-0.004273504,-0.006825939,-0.004255319,-0.003218021
2012-02-16,112.7312622,0.011073081,1,0.001510574,-0.004291845,0.0,0.006410256,-0.001614205
2012-02-17,113.029541,0.002645928,1,-0.007541478,-0.012931034,-0.010309278,-0.010615711,-0.016168149
2012-02-21,113.0793152,0.000440365,1,-0.001519757,-0.004366812,-0.006944444,0.0,0.001643385
2012-02-22,112.7146683,-0.0032247,0,0.01217656,0.0,0.003496503,0.012875536,0.011484824
2012-02-23,113.211853,0.004411003,1,-0.006015038,0.004385965,0.0,-0.004237288,-0.02757502
2012-02-24,113.4604492,0.00219585,1,-0.010590015,-0.008733624,-0.006968641,-0.012765957,-0.013344454
2012-02-27,113.6510315,0.001679725,1,0.001529052,-0.008810573,-0.007017544,0.0,0.000845309
2012-02-28,113.9824753,0.002916329,1,-0.019847328,-0.022222222,-0.014134276,-0.023706897,-0.019425676
2012-02-29,113.5349884,-0.003925927,0,0.003115265,-0.004545455,-0.007168459,0.006622517,-0.002583979
2012-03-01,114.1233292,0.005182022,1,-0.01242236,-0.00913242,-0.007220217,-0.01754386,-0.005181347
2012-03-02,113.7752838,-0.003049731,0,-0.011006289,-0.00921659,-0.007272727,-0.011160714,-0.006944444
