Date,EquityPriceReturns
10/20/2011,0.004375566
10/21/2011,0.01898712
10/24/2011,0.012261221
10/25/2011,-0.019443797
10/26/2011,0.010158733
10/27/2011,0.034834814
10/28/2011,-0.000233179
10/31/2011,-0.024105876
11/1/2011,-0.027888145
11/2/2011,0.016311408
11/3/2011,0.01822699
11/4/2011,-0.006098719
11/7/2011,0.006216115
11/8/2011,0.012830467
11/9/2011,-0.03690946
11/10/2011,0.009418449
11/11/2011,0.018822354
11/14/2011,-0.009474005
11/15/2011,0.004941838
11/16/2011,-0.015862865
11/17/2011,-0.015876746
11/18/2011,-0.001064852
11/21/2011,-0.019019426
11/22/2011,-0.003928077
11/23/2011,-0.02206554
11/25/2011,-0.001887134
11/28/2011,0.028966556
11/29/2011,0.002840237
11/30/2011,0.041149534
12/1/2011,-0.000159906
12/2/2011,-0.00088018
12/5/2011,0.010892052
12/6/2011,0.000317063
12/7/2011,0.003722451
12/8/2011,-0.021936745
12/9/2011,0.016942598
12/12/2011,-0.014597563
12/13/2011,-0.009338907
12/14/2011,-0.010646165
12/15/2011,0.003614283
12/16/2011,0.001482643
12/19/2011,-0.010691787
12/20/2011,0.030260314
12/21/2011,0.001936387
12/22/2011,0.008858962
12/23/2011,0.008940596
12/27/2011,0.000791155
12/28/2011,-0.013123441
12/29/2011,0.010334101
12/30/2011,-0.004915732
1/3/2012,0.015936107
1/4/2012,0.001568606
1/5/2012,0.002662475
1/6/2012,-0.002577381
1/9/2012,0.002427373
1/10/2012,0.008670795
1/11/2012,0.000541914
1/12/2012,0.002399522
1/13/2012,-0.005173676
1/17/2012,0.003881123
1/18/2012,0.011055895
1/19/2012,0.005276266
1/20/2012,0.003727357
1/23/2012,-0.00257651
1/24/2012,-0.001139942
1/25/2012,0.008367976
1/26/2012,-0.005129653
1/27/2012,-0.000455141
1/30/2012,-0.003413751
1/31/2012,-0.000380652
2/1/2012,0.008757271
2/2/2012,0.001585239
2/3/2012,0.014018409
2/6/2012,-0.00066877
2/7/2012,0.002528807
2/8/2012,0.002967607
2/9/2012,0.001257415
2/10/2012,-0.00738747
2/13/2012,0.007442451
2/14/2012,-0.001255835
2/15/2012,-0.004660102
2/16/2012,0.011073081
2/17/2012,0.002645928
2/21/2012,0.000440365
2/22/2012,-0.0032247
2/23/2012,0.004411003
2/24/2012,0.00219585
2/27/2012,0.001679725
2/28/2012,0.002916329
2/29/2012,-0.003925927
3/1/2012,0.005182022
3/2/2012,-0.003049731
3/5/2012,-0.004078187
3/6/2012,-0.014625163
3/7/2012,0.006975805
3/8/2012,0.009949234
3/9/2012,0.003867454
3/12/2012,7.28E-05
3/13/2012,0.018025667
3/14/2012,-0.00107084
3/15/2012,0.005789749
3/16/2012,0.001384469
3/19/2012,0.003920018
3/20/2012,-0.002910586
3/21/2012,-0.001638038
3/22/2012,-0.007203267
3/23/2012,0.003232752
3/26/2012,0.014034915
3/27/2012,-0.003107301
3/28/2012,-0.004958321
3/29/2012,-0.001708694
3/30/2012,0.004135943
4/2/2012,0.007315089
4/3/2012,-0.004089191
4/4/2012,-0.00991084
4/5/2012,-0.000500384
4/9/2012,-0.011231103
4/10/2012,-0.016784882
4/11/2012,0.00809414
4/12/2012,0.013065588
4/13/2012,-0.011888067
4/16/2012,-0.000656236
4/17/2012,0.014811883
4/18/2012,-0.003379696
4/19/2012,-0.00642087
4/20/2012,0.001669991
4/23/2012,-0.008408538
4/24/2012,0.003801255
4/25/2012,0.013691916
4/26/2012,0.006969156
4/27/2012,0.001640657
4/30/2012,-0.003703976
5/1/2012,0.006220341
5/2/2012,-0.002984379
