,realtime_start,realtime_end,date,value
0,2021-10-19,2021-10-19,1996-12-31,1.95
1,2021-10-19,2021-10-19,1997-01-01,.
2,2021-10-19,2021-10-19,1997-01-02,1.92
3,2021-10-19,2021-10-19,1997-01-03,1.94
4,2021-10-19,2021-10-19,1997-01-06,1.94
5,2021-10-19,2021-10-19,1997-01-07,1.93
6,2021-10-19,2021-10-19,1997-01-08,1.91
7,2021-10-19,2021-10-19,1997-01-09,1.96
8,2021-10-19,2021-10-19,1997-01-10,2.02
9,2021-10-19,2021-10-19,1997-01-13,1.90
10,2021-10-19,2021-10-19,1997-01-14,1.92
11,2021-10-19,2021-10-19,1997-01-15,1.91
12,2021-10-19,2021-10-19,1997-01-16,1.88
13,2021-10-19,2021-10-19,1997-01-17,1.88
14,2021-10-19,2021-10-19,1997-01-20,1.88
15,2021-10-19,2021-10-19,1997-01-21,1.90
16,2021-10-19,2021-10-19,1997-01-22,1.86
17,2021-10-19,2021-10-19,1997-01-23,1.84
18,2021-10-19,2021-10-19,1997-01-24,1.82
19,2021-10-19,2021-10-19,1997-01-27,1.79
20,2021-10-19,2021-10-19,1997-01-28,1.81
21,2021-10-19,2021-10-19,1997-01-29,1.81
22,2021-10-19,2021-10-19,1997-01-30,1.82
23,2021-10-19,2021-10-19,1997-01-31,1.86
24,2021-10-19,2021-10-19,1997-02-03,1.87
25,2021-10-19,2021-10-19,1997-02-04,1.88
26,2021-10-19,2021-10-19,1997-02-05,1.85
27,2021-10-19,2021-10-19,1997-02-06,1.84
28,2021-10-19,2021-10-19,1997-02-07,1.86
29,2021-10-19,2021-10-19,1997-02-10,1.84
30,2021-10-19,2021-10-19,1997-02-11,1.84
31,2021-10-19,2021-10-19,1997-02-12,1.83
32,2021-10-19,2021-10-19,1997-02-13,1.84
33,2021-10-19,2021-10-19,1997-02-14,1.84
34,2021-10-19,2021-10-19,1997-02-17,.
35,2021-10-19,2021-10-19,1997-02-18,1.82
36,2021-10-19,2021-10-19,1997-02-19,1.80
37,2021-10-19,2021-10-19,1997-02-20,1.76
38,2021-10-19,2021-10-19,1997-02-21,1.77
39,2021-10-19,2021-10-19,1997-02-24,1.75
40,2021-10-19,2021-10-19,1997-02-25,1.73
41,2021-10-19,2021-10-19,1997-02-26,1.66
42,2021-10-19,2021-10-19,1997-02-27,1.66
43,2021-10-19,2021-10-19,1997-02-28,1.68
44,2021-10-19,2021-10-19,1997-03-03,1.66
45,2021-10-19,2021-10-19,1997-03-04,1.64
