,realtime_start,realtime_end,date,value
0,2021-10-19,2021-10-19,1996-12-31,7.38
1,2021-10-19,2021-10-19,1997-01-01,.
2,2021-10-19,2021-10-19,1997-01-02,7.28
3,2021-10-19,2021-10-19,1997-01-03,7.37
4,2021-10-19,2021-10-19,1997-01-06,7.36
5,2021-10-19,2021-10-19,1997-01-07,7.36
6,2021-10-19,2021-10-19,1997-01-08,7.34
7,2021-10-19,2021-10-19,1997-01-09,7.47
8,2021-10-19,2021-10-19,1997-01-10,7.47
9,2021-10-19,2021-10-19,1997-01-13,7.40
10,2021-10-19,2021-10-19,1997-01-14,7.37
11,2021-10-19,2021-10-19,1997-01-15,7.30
12,2021-10-19,2021-10-19,1997-01-16,7.22
13,2021-10-19,2021-10-19,1997-01-17,7.24
14,2021-10-19,2021-10-19,1997-01-20,7.19
15,2021-10-19,2021-10-19,1997-01-21,7.23
16,2021-10-19,2021-10-19,1997-01-22,7.15
17,2021-10-19,2021-10-19,1997-01-23,7.16
18,2021-10-19,2021-10-19,1997-01-24,7.08
19,2021-10-19,2021-10-19,1997-01-27,7.00
20,2021-10-19,2021-10-19,1997-01-28,6.95
21,2021-10-19,2021-10-19,1997-01-29,7.09
22,2021-10-19,2021-10-19,1997-01-30,7.14
23,2021-10-19,2021-10-19,1997-01-31,7.30
24,2021-10-19,2021-10-19,1997-02-03,7.30
25,2021-10-19,2021-10-19,1997-02-04,7.27
26,2021-10-19,2021-10-19,1997-02-05,7.22
27,2021-10-19,2021-10-19,1997-02-06,7.19
28,2021-10-19,2021-10-19,1997-02-07,7.20
29,2021-10-19,2021-10-19,1997-02-10,7.12
30,2021-10-19,2021-10-19,1997-02-11,7.11
31,2021-10-19,2021-10-19,1997-02-12,7.07
32,2021-10-19,2021-10-19,1997-02-13,7.13
33,2021-10-19,2021-10-19,1997-02-14,7.13
34,2021-10-19,2021-10-19,1997-02-17,.
35,2021-10-19,2021-10-19,1997-02-18,7.07
36,2021-10-19,2021-10-19,1997-02-19,7.03
37,2021-10-19,2021-10-19,1997-02-20,6.89
38,2021-10-19,2021-10-19,1997-02-21,6.92
39,2021-10-19,2021-10-19,1997-02-24,6.86
40,2021-10-19,2021-10-19,1997-02-25,6.71
41,2021-10-19,2021-10-19,1997-02-26,6.53
42,2021-10-19,2021-10-19,1997-02-27,6.49
43,2021-10-19,2021-10-19,1997-02-28,6.46
44,2021-10-19,2021-10-19,1997-03-03,6.49
45,2021-10-19,2021-10-19,1997-03-04,6.28
46,2021-10-19,2021-10-19,1997-03-05,6.44
47,2021-10-19,2021-10-19,1997-03-06,6.42
48,2021-10-19,2021-10-19,1997-03-07,6.48
49,2021-10-19,2021-10-19,1997-03-10,6.50
50,2021-10-19,2021-10-19,1997-03-11,6.50
51,2021-10-19,2021-10-19,1997-03-12,6.44
52,2021-10-19,2021-10-19,1997-03-13,6.36
53,2021-10-19,2021-10-19,1997-03-14,6.41
54,2021-10-19,2021-10-19,1997-03-17,6.35
55,2021-10-19,2021-10-19,1997-03-18,6.38
56,2021-10-19,2021-10-19,1997-03-19,6.29
57,2021-10-19,2021-10-19,1997-03-20,6.29
58,2021-10-19,2021-10-19,1997-03-21,6.30
59,2021-10-19,2021-10-19,1997-03-24,6.33
60,2021-10-19,2021-10-19,1997-03-25,6.31
61,2021-10-19,2021-10-19,1997-03-26,6.32
62,2021-10-19,2021-10-19,1997-03-27,6.26
63,2021-10-19,2021-10-19,1997-03-28,.
64,2021-10-19,2021-10-19,1997-03-31,6.50
65,2021-10-19,2021-10-19,1997-04-01,6.59
66,2021-10-19,2021-10-19,1997-04-02,6.65
67,2021-10-19,2021-10-19,1997-04-03,6.69
68,2021-10-19,2021-10-19,1997-04-04,6.61
69,2021-10-19,2021-10-19,1997-04-07,6.65
70,2021-10-19,2021-10-19,1997-04-08,6.62
71,2021-10-19,2021-10-19,1997-04-09,6.63
72,2021-10-19,2021-10-19,1997-04-10,6.68
73,2021-10-19,2021-10-19,1997-04-11,6.69
74,2021-10-19,2021-10-19,1997-04-14,6.65
75,2021-10-19,2021-10-19,1997-04-15,6.60
76,2021-10-19,2021-10-19,1997-04-16,6.51
77,2021-10-19,2021-10-19,1997-04-17,6.57
78,2021-10-19,2021-10-19,1997-04-18,6.55
79,2021-10-19,2021-10-19,1997-04-21,6.45
80,2021-10-19,2021-10-19,1997-04-22,6.45
81,2021-10-19,2021-10-19,1997-04-23,6.39
82,2021-10-19,2021-10-19,1997-04-24,6.34
83,2021-10-19,2021-10-19,1997-04-25,6.32
84,2021-10-19,2021-10-19,1997-04-28,6.47
85,2021-10-19,2021-10-19,1997-04-29,6.58
86,2021-10-19,2021-10-19,1997-04-30,6.79
87,2021-10-19,2021-10-19,1997-05-01,6.80
88,2021-10-19,2021-10-19,1997-05-02,6.80
89,2021-10-19,2021-10-19,1997-05-05,6.76
90,2021-10-19,2021-10-19,1997-05-06,6.75
91,2021-10-19,2021-10-19,1997-05-07,6.67
92,2021-10-19,2021-10-19,1997-05-08,6.66
93,2021-10-19,2021-10-19,1997-05-09,6.66
94,2021-10-19,2021-10-19,1997-05-12,6.64
95,2021-10-19,2021-10-19,1997-05-13,6.59
96,2021-10-19,2021-10-19,1997-05-14,6.56
97,2021-10-19,2021-10-19,1997-05-15,6.55
98,2021-10-19,2021-10-19,1997-05-16,6.50
99,2021-10-19,2021-10-19,1997-05-19,6.50
100,2021-10-19,2021-10-19,1997-05-20,6.51
101,2021-10-19,2021-10-19,1997-05-21,6.47
102,2021-10-19,2021-10-19,1997-05-22,6.40
103,2021-10-19,2021-10-19,1997-05-23,6.41
104,2021-10-19,2021-10-19,1997-05-26,.
105,2021-10-19,2021-10-19,1997-05-27,6.39
106,2021-10-19,2021-10-19,1997-05-28,6.66
107,2021-10-19,2021-10-19,1997-05-29,6.40
108,2021-10-19,2021-10-19,1997-05-30,6.44
109,2021-10-19,2021-10-19,1997-05-31,6.45
110,2021-10-19,2021-10-19,1997-06-02,6.45
111,2021-10-19,2021-10-19,1997-06-03,6.44
112,2021-10-19,2021-10-19,1997-06-04,6.36
113,2021-10-19,2021-10-19,1997-06-05,6.33
114,2021-10-19,2021-10-19,1997-06-06,6.32
115,2021-10-19,2021-10-19,1997-06-09,6.15
116,2021-10-19,2021-10-19,1997-06-10,6.10
117,2021-10-19,2021-10-19,1997-06-11,6.10
118,2021-10-19,2021-10-19,1997-06-12,6.21
119,2021-10-19,2021-10-19,1997-06-13,6.26
120,2021-10-19,2021-10-19,1997-06-16,6.19
121,2021-10-19,2021-10-19,1997-06-17,6.17
122,2021-10-19,2021-10-19,1997-06-18,6.23
123,2021-10-19,2021-10-19,1997-06-19,6.25
124,2021-10-19,2021-10-19,1997-06-20,6.30
125,2021-10-19,2021-10-19,1997-06-23,6.29
126,2021-10-19,2021-10-19,1997-06-24,6.31
127,2021-10-19,2021-10-19,1997-06-25,6.27
128,2021-10-19,2021-10-19,1997-06-26,6.35
129,2021-10-19,2021-10-19,1997-06-27,6.35
130,2021-10-19,2021-10-19,1997-06-30,6.64
131,2021-10-19,2021-10-19,1997-07-01,6.68
132,2021-10-19,2021-10-19,1997-07-02,6.71
133,2021-10-19,2021-10-19,1997-07-03,6.83
134,2021-10-19,2021-10-19,1997-07-04,.
135,2021-10-19,2021-10-19,1997-07-07,6.84
136,2021-10-19,2021-10-19,1997-07-08,6.78
137,2021-10-19,2021-10-19,1997-07-09,6.73
138,2021-10-19,2021-10-19,1997-07-10,6.72
139,2021-10-19,2021-10-19,1997-07-11,6.73
140,2021-10-19,2021-10-19,1997-07-14,6.68
141,2021-10-19,2021-10-19,1997-07-15,6.67
142,2021-10-19,2021-10-19,1997-07-16,6.70
143,2021-10-19,2021-10-19,1997-07-17,6.66
