,realtime_start,realtime_end,date,value
0,2021-10-19,2021-10-19,1986-01-02,0.90
1,2021-10-19,2021-10-19,1986-01-03,0.99
2,2021-10-19,2021-10-19,1986-01-06,1.07
3,2021-10-19,2021-10-19,1986-01-07,1.09
4,2021-10-19,2021-10-19,1986-01-08,0.83
5,2021-10-19,2021-10-19,1986-01-09,1.01
6,2021-10-19,2021-10-19,1986-01-10,1.04
7,2021-10-19,2021-10-19,1986-01-13,1.13
8,2021-10-19,2021-10-19,1986-01-14,1.13
9,2021-10-19,2021-10-19,1986-01-15,1.06
10,2021-10-19,2021-10-19,1986-01-16,1.11
11,2021-10-19,2021-10-19,1986-01-17,1.08
12,2021-10-19,2021-10-19,1986-01-20,.
13,2021-10-19,2021-10-19,1986-01-21,1.17
14,2021-10-19,2021-10-19,1986-01-22,1.19
15,2021-10-19,2021-10-19,1986-01-23,1.22
16,2021-10-19,2021-10-19,1986-01-24,1.22
17,2021-10-19,2021-10-19,1986-01-27,1.17
18,2021-10-19,2021-10-19,1986-01-28,1.14
19,2021-10-19,2021-10-19,1986-01-29,1.03
20,2021-10-19,2021-10-19,1986-01-30,1.02
21,2021-10-19,2021-10-19,1986-01-31,1.09
22,2021-10-19,2021-10-19,1986-02-03,1.06
23,2021-10-19,2021-10-19,1986-02-04,1.08
24,2021-10-19,2021-10-19,1986-02-05,0.99
25,2021-10-19,2021-10-19,1986-02-06,0.90
26,2021-10-19,2021-10-19,1986-02-07,0.85
27,2021-10-19,2021-10-19,1986-02-10,0.92
28,2021-10-19,2021-10-19,1986-02-11,0.95
29,2021-10-19,2021-10-19,1986-02-12,0.95
30,2021-10-19,2021-10-19,1986-02-13,0.96
31,2021-10-19,2021-10-19,1986-02-14,1.04
32,2021-10-19,2021-10-19,1986-02-17,.
33,2021-10-19,2021-10-19,1986-02-18,0.98
34,2021-10-19,2021-10-19,1986-02-19,0.92
35,2021-10-19,2021-10-19,1986-02-20,0.89
36,2021-10-19,2021-10-19,1986-02-21,1.02
37,2021-10-19,2021-10-19,1986-02-24,0.98
38,2021-10-19,2021-10-19,1986-02-25,0.89
39,2021-10-19,2021-10-19,1986-02-26,0.93
40,2021-10-19,2021-10-19,1986-02-27,0.91
41,2021-10-19,2021-10-19,1986-02-28,0.86
42,2021-10-19,2021-10-19,1986-03-03,0.91
43,2021-10-19,2021-10-19,1986-03-04,0.91
44,2021-10-19,2021-10-19,1986-03-05,0.84
45,2021-10-19,2021-10-19,1986-03-06,1.00
46,2021-10-19,2021-10-19,1986-03-07,0.95
47,2021-10-19,2021-10-19,1986-03-10,0.95
48,2021-10-19,2021-10-19,1986-03-11,0.93
49,2021-10-19,2021-10-19,1986-03-12,0.82
50,2021-10-19,2021-10-19,1986-03-13,0.91
51,2021-10-19,2021-10-19,1986-03-14,0.96
52,2021-10-19,2021-10-19,1986-03-17,0.94
53,2021-10-19,2021-10-19,1986-03-18,0.96
54,2021-10-19,2021-10-19,1986-03-19,1.07
55,2021-10-19,2021-10-19,1986-03-20,1.12
56,2021-10-19,2021-10-19,1986-03-21,1.09
57,2021-10-19,2021-10-19,1986-03-24,1.15
58,2021-10-19,2021-10-19,1986-03-25,1.18
59,2021-10-19,2021-10-19,1986-03-26,1.15
60,2021-10-19,2021-10-19,1986-03-27,1.10
61,2021-10-19,2021-10-19,1986-03-28,.
62,2021-10-19,2021-10-19,1986-03-31,.
63,2021-10-19,2021-10-19,1986-04-01,0.98
64,2021-10-19,2021-10-19,1986-04-02,0.97
65,2021-10-19,2021-10-19,1986-04-03,0.98
66,2021-10-19,2021-10-19,1986-04-04,1.12
67,2021-10-19,2021-10-19,1986-04-07,1.01
68,2021-10-19,2021-10-19,1986-04-08,0.93
69,2021-10-19,2021-10-19,1986-04-09,0.87
70,2021-10-19,2021-10-19,1986-04-10,0.86
71,2021-10-19,2021-10-19,1986-04-11,0.92
72,2021-10-19,2021-10-19,1986-04-14,0.96
73,2021-10-19,2021-10-19,1986-04-15,1.00
74,2021-10-19,2021-10-19,1986-04-16,0.98
75,2021-10-19,2021-10-19,1986-04-17,0.72
76,2021-10-19,2021-10-19,1986-04-18,0.75
77,2021-10-19,2021-10-19,1986-04-21,0.82
78,2021-10-19,2021-10-19,1986-04-22,0.80
79,2021-10-19,2021-10-19,1986-04-23,0.72
80,2021-10-19,2021-10-19,1986-04-24,0.70
81,2021-10-19,2021-10-19,1986-04-25,0.80
82,2021-10-19,2021-10-19,1986-04-28,0.90
83,2021-10-19,2021-10-19,1986-04-29,0.79
84,2021-10-19,2021-10-19,1986-04-30,0.78
85,2021-10-19,2021-10-19,1986-05-01,0.76
86,2021-10-19,2021-10-19,1986-05-02,0.79
87,2021-10-19,2021-10-19,1986-05-05,.
88,2021-10-19,2021-10-19,1986-05-06,0.76
89,2021-10-19,2021-10-19,1986-05-07,0.77
90,2021-10-19,2021-10-19,1986-05-08,0.77
91,2021-10-19,2021-10-19,1986-05-09,0.79
92,2021-10-19,2021-10-19,1986-05-12,0.81
93,2021-10-19,2021-10-19,1986-05-13,0.97
94,2021-10-19,2021-10-19,1986-05-14,0.85
95,2021-10-19,2021-10-19,1986-05-15,0.83
96,2021-10-19,2021-10-19,1986-05-16,0.92
97,2021-10-19,2021-10-19,1986-05-19,0.92
98,2021-10-19,2021-10-19,1986-05-20,0.96
99,2021-10-19,2021-10-19,1986-05-21,0.86
100,2021-10-19,2021-10-19,1986-05-22,0.86
101,2021-10-19,2021-10-19,1986-05-23,0.88
102,2021-10-19,2021-10-19,1986-05-26,.
103,2021-10-19,2021-10-19,1986-05-27,0.90
104,2021-10-19,2021-10-19,1986-05-28,0.81
105,2021-10-19,2021-10-19,1986-05-29,0.76
106,2021-10-19,2021-10-19,1986-05-30,0.83
107,2021-10-19,2021-10-19,1986-06-02,0.76
108,2021-10-19,2021-10-19,1986-06-03,0.78
109,2021-10-19,2021-10-19,1986-06-04,0.67
110,2021-10-19,2021-10-19,1986-06-05,0.68
111,2021-10-19,2021-10-19,1986-06-06,0.87
112,2021-10-19,2021-10-19,1986-06-09,0.70
113,2021-10-19,2021-10-19,1986-06-10,0.84
114,2021-10-19,2021-10-19,1986-06-11,0.79
115,2021-10-19,2021-10-19,1986-06-12,0.84
116,2021-10-19,2021-10-19,1986-06-13,0.96
117,2021-10-19,2021-10-19,1986-06-16,0.91
118,2021-10-19,2021-10-19,1986-06-17,0.91
119,2021-10-19,2021-10-19,1986-06-18,0.91
120,2021-10-19,2021-10-19,1986-06-19,0.89
121,2021-10-19,2021-10-19,1986-06-20,0.96
122,2021-10-19,2021-10-19,1986-06-23,0.95
123,2021-10-19,2021-10-19,1986-06-24,0.92
124,2021-10-19,2021-10-19,1986-06-25,0.86
125,2021-10-19,2021-10-19,1986-06-26,0.92
126,2021-10-19,2021-10-19,1986-06-27,0.92
127,2021-10-19,2021-10-19,1986-06-30,0.92
128,2021-10-19,2021-10-19,1986-07-01,0.82
129,2021-10-19,2021-10-19,1986-07-02,0.81
130,2021-10-19,2021-10-19,1986-07-03,0.90
131,2021-10-19,2021-10-19,1986-07-04,.
132,2021-10-19,2021-10-19,1986-07-07,0.88
133,2021-10-19,2021-10-19,1986-07-08,0.81
134,2021-10-19,2021-10-19,1986-07-09,0.93
135,2021-10-19,2021-10-19,1986-07-10,0.90
136,2021-10-19,2021-10-19,1986-07-11,0.94
137,2021-10-19,2021-10-19,1986-07-14,0.92
138,2021-10-19,2021-10-19,1986-07-15,0.79
139,2021-10-19,2021-10-19,1986-07-16,0.79
140,2021-10-19,2021-10-19,1986-07-17,0.83
141,2021-10-19,2021-10-19,1986-07-18,0.92
142,2021-10-19,2021-10-19,1986-07-21,0.84
143,2021-10-19,2021-10-19,1986-07-22,0.83
144,2021-10-19,2021-10-19,1986-07-23,0.75
145,2021-10-19,2021-10-19,1986-07-24,0.82
146,2021-10-19,2021-10-19,1986-07-25,0.82
147,2021-10-19,2021-10-19,1986-07-28,0.74
148,2021-10-19,2021-10-19,1986-07-29,0.76
149,2021-10-19,2021-10-19,1986-07-30,0.71
150,2021-10-19,2021-10-19,1986-07-31,0.77
151,2021-10-19,2021-10-19,1986-08-01,0.67
152,2021-10-19,2021-10-19,1986-08-04,0.79
153,2021-10-19,2021-10-19,1986-08-05,0.79
154,2021-10-19,2021-10-19,1986-08-06,0.78
155,2021-10-19,2021-10-19,1986-08-07,0.78
156,2021-10-19,2021-10-19,1986-08-08,0.74
157,2021-10-19,2021-10-19,1986-08-11,0.77
158,2021-10-19,2021-10-19,1986-08-12,0.76
159,2021-10-19,2021-10-19,1986-08-13,0.68
160,2021-10-19,2021-10-19,1986-08-14,0.60
161,2021-10-19,2021-10-19,1986-08-15,0.63
162,2021-10-19,2021-10-19,1986-08-18,0.58
163,2021-10-19,2021-10-19,1986-08-19,0.63
164,2021-10-19,2021-10-19,1986-08-20,0.56
165,2021-10-19,2021-10-19,1986-08-21,0.63
166,2021-10-19,2021-10-19,1986-08-22,0.58
167,2021-10-19,2021-10-19,1986-08-25,.
168,2021-10-19,2021-10-19,1986-08-26,0.58
169,2021-10-19,2021-10-19,1986-08-27,0.43
170,2021-10-19,2021-10-19,1986-08-28,0.52
171,2021-10-19,2021-10-19,1986-08-29,0.64
172,2021-10-19,2021-10-19,1986-09-01,.
173,2021-10-19,2021-10-19,1986-09-02,0.43
174,2021-10-19,2021-10-19,1986-09-03,0.51
175,2021-10-19,2021-10-19,1986-09-04,0.62
176,2021-10-19,2021-10-19,1986-09-05,0.52
177,2021-10-19,2021-10-19,1986-09-08,0.76
178,2021-10-19,2021-10-19,1986-09-09,0.86
179,2021-10-19,2021-10-19,1986-09-10,0.78
180,2021-10-19,2021-10-19,1986-09-11,0.79
181,2021-10-19,2021-10-19,1986-09-12,1.02
182,2021-10-19,2021-10-19,1986-09-15,0.89
183,2021-10-19,2021-10-19,1986-09-16,0.93
184,2021-10-19,2021-10-19,1986-09-17,1.0
185,2021-10-19,2021-10-19,1986-09-18,0.83
186,2021-10-19,2021-10-19,1986-09-19,0.88
187,2021-10-19,2021-10-19,1986-09-22,0.88
188,2021-10-19,2021-10-19,1986-09-23,0.88
189,2021-10-19,2021-10-19,1986-09-24,0.88
190,2021-10-19,2021-10-19,1986-09-25,0.83
191,2021-10-19,2021-10-19,1986-09-26,0.82
192,2021-10-19,2021-10-19,1986-09-29,0.87
193,2021-10-19,2021-10-19,1986-09-30,0.92
194,2021-10-19,2021-10-19,1986-10-01,0.92
195,2021-10-19,2021-10-19,1986-10-02,0.87
196,2021-10-19,2021-10-19,1986-10-03,0.97
197,2021-10-19,2021-10-19,1986-10-06,0.89
198,2021-10-19,2021-10-19,1986-10-07,0.82
199,2021-10-19,2021-10-19,1986-10-08,0.84
200,2021-10-19,2021-10-19,1986-10-09,0.82
201,2021-10-19,2021-10-19,1986-10-10,0.82
202,2021-10-19,2021-10-19,1986-10-13,.
203,2021-10-19,2021-10-19,1986-10-14,0.80
204,2021-10-19,2021-10-19,1986-10-15,0.82
205,2021-10-19,2021-10-19,1986-10-16,0.80
206,2021-10-19,2021-10-19,1986-10-17,0.73
207,2021-10-19,2021-10-19,1986-10-20,0.82
208,2021-10-19,2021-10-19,1986-10-21,0.82
209,2021-10-19,2021-10-19,1986-10-22,0.76
210,2021-10-19,2021-10-19,1986-10-23,0.80
211,2021-10-19,2021-10-19,1986-10-24,0.79
212,2021-10-19,2021-10-19,1986-10-27,0.87
213,2021-10-19,2021-10-19,1986-10-28,0.86
214,2021-10-19,2021-10-19,1986-10-29,0.86
215,2021-10-19,2021-10-19,1986-10-30,0.70
216,2021-10-19,2021-10-19,1986-10-31,0.74
217,2021-10-19,2021-10-19,1986-11-03,0.73
218,2021-10-19,2021-10-19,1986-11-04,0.75
219,2021-10-19,2021-10-19,1986-11-05,0.77
220,2021-10-19,2021-10-19,1986-11-06,0.74
221,2021-10-19,2021-10-19,1986-11-07,0.74
222,2021-10-19,2021-10-19,1986-11-10,0.7
223,2021-10-19,2021-10-19,1986-11-11,.
224,2021-10-19,2021-10-19,1986-11-12,0.72
225,2021-10-19,2021-10-19,1986-11-13,0.66
226,2021-10-19,2021-10-19,1986-11-14,0.66
227,2021-10-19,2021-10-19,1986-11-17,0.66
228,2021-10-19,2021-10-19,1986-11-18,0.78
229,2021-10-19,2021-10-19,1986-11-19,0.80
230,2021-10-19,2021-10-19,1986-11-20,0.75
231,2021-10-19,2021-10-19,1986-11-21,0.76
232,2021-10-19,2021-10-19,1986-11-24,0.75
233,2021-10-19,2021-10-19,1986-11-25,0.74
234,2021-10-19,2021-10-19,1986-11-26,0.74
235,2021-10-19,2021-10-19,1986-11-27,.
236,2021-10-19,2021-10-19,1986-11-28,0.74
237,2021-10-19,2021-10-19,1986-12-01,0.77
238,2021-10-19,2021-10-19,1986-12-02,0.78
239,2021-10-19,2021-10-19,1986-12-03,0.78
240,2021-10-19,2021-10-19,1986-12-04,0.79
241,2021-10-19,2021-10-19,1986-12-05,0.68
242,2021-10-19,2021-10-19,1986-12-08,0.68
243,2021-10-19,2021-10-19,1986-12-09,0.71
244,2021-10-19,2021-10-19,1986-12-10,0.70
245,2021-10-19,2021-10-19,1986-12-11,0.70
246,2021-10-19,2021-10-19,1986-12-12,0.70
247,2021-10-19,2021-10-19,1986-12-15,0.75
248,2021-10-19,2021-10-19,1986-12-16,0.80
249,2021-10-19,2021-10-19,1986-12-17,0.86
250,2021-10-19,2021-10-19,1986-12-18,0.84
251,2021-10-19,2021-10-19,1986-12-19,1.05
252,2021-10-19,2021-10-19,1986-12-22,1.34
253,2021-10-19,2021-10-19,1986-12-23,1.20
254,2021-10-19,2021-10-19,1986-12-24,0.99
255,2021-10-19,2021-10-19,1986-12-25,.
256,2021-10-19,2021-10-19,1986-12-26,.
