,RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
0,2021-10-19,2021-10-18,1,401,41,2,4766
1,2021-10-19,2021-10-18,2,593,5,4,4121
2,2021-10-19,2021-10-18,3,745,49,2,3827
3,2021-10-19,2021-10-18,4,18,43,1,2033
4,2021-10-19,2021-10-18,5,242,47,2,1527
5,2021-10-19,2021-10-18,6,502,22,1,4258
6,2021-10-19,2021-10-18,7,637,11,4,3850
7,2021-10-19,2021-10-18,8,964,47,5,5955
8,2021-10-19,2021-10-18,9,985,45,1,1535
9,2021-10-19,2021-10-18,10,593,32,4,242
10,2021-10-19,2021-10-18,11,102,39,1,2919
11,2021-10-19,2021-10-18,12,449,41,1,4302
12,2021-10-19,2021-10-18,13,575,46,2,2642
13,2021-10-19,2021-10-18,14,459,34,1,4503
14,2021-10-19,2021-10-18,15,750,41,1,4681
15,2021-10-19,2021-10-18,16,637,45,1,2050
16,2021-10-19,2021-10-18,17,361,23,3,1996
17,2021-10-19,2021-10-18,18,312,5,1,5996
18,2021-10-19,2021-10-18,19,227,37,4,1022
19,2021-10-19,2021-10-18,20,593,9,2,1253
20,2021-10-19,2021-10-18,21,139,35,3,1553
21,2021-10-19,2021-10-18,22,143,39,4,3867
22,2021-10-19,2021-10-18,23,843,37,2,5879
23,2021-10-19,2021-10-18,24,464,32,5,2674
24,2021-10-19,2021-10-18,25,106,37,4,3648
25,2021-10-19,2021-10-18,26,48,6,1,5608
26,2021-10-19,2021-10-18,27,50,29,1,5121
27,2021-10-19,2021-10-18,28,339,24,1,2263
28,2021-10-19,2021-10-18,29,917,30,3,2092
29,2021-10-19,2021-10-18,30,957,46,1,397
30,2021-10-19,2021-10-18,31,85,31,4,4184
31,2021-10-19,2021-10-18,32,811,6,2,1845
32,2021-10-19,2021-10-18,33,69,15,2,3695
33,2021-10-19,2021-10-18,34,172,45,1,3157
34,2021-10-19,2021-10-18,35,68,16,3,2958
35,2021-10-19,2021-10-18,36,966,34,3,3985
36,2021-10-19,2021-10-18,37,73,38,5,146
37,2021-10-19,2021-10-18,38,533,42,1,2346
38,2021-10-19,2021-10-18,39,590,5,4,4508
39,2021-10-19,2021-10-18,40,256,46,5,2237
40,2021-10-19,2021-10-18,41,831,49,2,1188
41,2021-10-19,2021-10-18,42,843,25,1,927
42,2021-10-19,2021-10-18,43,669,21,1,1283
43,2021-10-19,2021-10-18,44,686,46,5,1192
44,2021-10-19,2021-10-18,45,453,39,1,5329
45,2021-10-19,2021-10-18,46,193,35,5,560
46,2021-10-19,2021-10-18,47,375,43,4,4784
47,2021-10-19,2021-10-18,48,279,49,5,5565
48,2021-10-19,2021-10-18,49,93,32,4,890
49,2021-10-19,2021-10-18,50,261,45,2,5697
50,2021-10-19,2021-10-18,51,313,22,3,4344
51,2021-10-19,2021-10-18,52,32,45,2,3697
52,2021-10-19,2021-10-18,53,347,27,1,3875
53,2021-10-19,2021-10-18,54,6,32,2,1215
54,2021-10-19,2021-10-18,55,601,9,2,5222
55,2021-10-19,2021-10-18,56,942,29,1,5867
56,2021-10-19,2021-10-18,57,675,49,4,5665
57,2021-10-19,2021-10-18,58,44,15,5,1282
58,2021-10-19,2021-10-18,59,628,49,4,2458
59,2021-10-19,2021-10-18,60,76,48,1,358
60,2021-10-19,2021-10-18,61,566,29,5,215
61,2021-10-19,2021-10-18,62,590,6,1,4637
62,2021-10-19,2021-10-18,63,94,30,1,536
63,2021-10-19,2021-10-18,64,273,20,4,3033
64,2021-10-19,2021-10-18,65,931,44,5,2888
65,2021-10-19,2021-10-18,66,48,44,4,3191
66,2021-10-19,2021-10-18,67,85,9,3,5928
67,2021-10-19,2021-10-18,68,166,25,5,4675
68,2021-10-19,2021-10-18,69,896,17,5,2348
69,2021-10-19,2021-10-18,70,179,24,3,2517
70,2021-10-19,2021-10-18,71,969,27,1,2995
71,2021-10-19,2021-10-18,72,747,46,5,5515
72,2021-10-19,2021-10-18,73,682,13,3,1754
73,2021-10-19,2021-10-18,74,187,31,3,3870
74,2021-10-19,2021-10-18,75,755,45,3,1868
75,2021-10-19,2021-10-18,76,33,28,1,4313
76,2021-10-19,2021-10-18,77,943,18,1,5494
77,2021-10-19,2021-10-18,78,712,31,5,4735
78,2021-10-19,2021-10-18,79,261,4,2,2614
79,2021-10-19,2021-10-18,80,770,43,1,3164
80,2021-10-19,2021-10-18,81,75,28,2,2814
81,2021-10-19,2021-10-18,82,67,22,2,4833
82,2021-10-19,2021-10-18,83,727,46,4,818
83,2021-10-19,2021-10-18,84,62,42,2,1527
84,2021-10-19,2021-10-18,85,203,45,5,831
85,2021-10-19,2021-10-18,86,591,41,1,2711
86,2021-10-19,2021-10-18,87,675,7,3,5855
87,2021-10-19,2021-10-18,88,178,26,3,4277
88,2021-10-19,2021-10-18,89,310,26,1,3559
89,2021-10-19,2021-10-18,90,331,39,1,924
