,RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
0,2021-10-19,2021-10-15,1,158,45,1,2005
1,2021-10-19,2021-10-15,2,853,42,1,4214
2,2021-10-19,2021-10-15,3,38,26,1,4066
3,2021-10-19,2021-10-15,4,759,33,5,5768
4,2021-10-19,2021-10-15,5,449,23,1,624
5,2021-10-19,2021-10-15,6,106,38,4,1359
6,2021-10-19,2021-10-15,7,215,2,4,1711
7,2021-10-19,2021-10-15,8,11,38,1,5529
8,2021-10-19,2021-10-15,9,62,41,1,2832
9,2021-10-19,2021-10-15,10,731,50,1,1328
10,2021-10-19,2021-10-15,11,101,46,1,3124
11,2021-10-19,2021-10-15,12,617,4,2,4177
12,2021-10-19,2021-10-15,13,880,50,4,667
13,2021-10-19,2021-10-15,14,901,15,1,2718
14,2021-10-19,2021-10-15,15,603,34,1,1808
15,2021-10-19,2021-10-15,16,116,20,3,5134
16,2021-10-19,2021-10-15,17,237,43,3,277
17,2021-10-19,2021-10-15,18,521,7,1,2395
18,2021-10-19,2021-10-15,19,365,50,3,2800
19,2021-10-19,2021-10-15,20,539,38,1,2011
20,2021-10-19,2021-10-15,21,222,24,3,947
21,2021-10-19,2021-10-15,22,586,8,5,2736
22,2021-10-19,2021-10-15,23,465,48,4,2886
23,2021-10-19,2021-10-15,24,399,26,5,5313
24,2021-10-19,2021-10-15,25,503,27,2,430
25,2021-10-19,2021-10-15,26,657,31,1,1661
26,2021-10-19,2021-10-15,27,654,47,2,2004
27,2021-10-19,2021-10-15,28,321,48,5,3286
28,2021-10-19,2021-10-15,29,957,33,4,4358
29,2021-10-19,2021-10-15,30,105,33,1,5953
30,2021-10-19,2021-10-15,31,803,46,1,4002
31,2021-10-19,2021-10-15,32,571,43,2,3201
32,2021-10-19,2021-10-15,33,207,31,4,3431
33,2021-10-19,2021-10-15,34,55,16,2,4962
34,2021-10-19,2021-10-15,35,39,15,3,5234
35,2021-10-19,2021-10-15,36,853,8,2,5945
36,2021-10-19,2021-10-15,37,768,34,1,3251
37,2021-10-19,2021-10-15,38,331,13,3,1129
38,2021-10-19,2021-10-15,39,295,2,1,4545
39,2021-10-19,2021-10-15,40,190,39,5,5405
40,2021-10-19,2021-10-15,41,355,33,2,1105
41,2021-10-19,2021-10-15,42,69,39,4,4927
42,2021-10-19,2021-10-15,43,812,34,1,1494
43,2021-10-19,2021-10-15,44,400,47,1,5851
44,2021-10-19,2021-10-15,45,800,35,3,255
45,2021-10-19,2021-10-15,46,745,35,5,1590
46,2021-10-19,2021-10-15,47,555,32,3,1315
47,2021-10-19,2021-10-15,48,340,49,3,1219
48,2021-10-19,2021-10-15,49,34,46,3,73
49,2021-10-19,2021-10-15,50,441,27,1,4401
50,2021-10-19,2021-10-15,51,604,22,1,3970
51,2021-10-19,2021-10-15,52,623,39,3,3586
52,2021-10-19,2021-10-15,53,330,26,1,3915
53,2021-10-19,2021-10-15,54,571,46,2,2754
54,2021-10-19,2021-10-15,55,660,50,3,365
55,2021-10-19,2021-10-15,56,929,42,5,2097
56,2021-10-19,2021-10-15,57,173,43,2,682
57,2021-10-19,2021-10-15,58,301,27,5,5715
58,2021-10-19,2021-10-15,59,446,18,4,5016
59,2021-10-19,2021-10-15,60,382,39,3,4551
60,2021-10-19,2021-10-15,61,5,37,1,4841
61,2021-10-19,2021-10-15,62,166,20,1,2965
62,2021-10-19,2021-10-15,63,787,37,5,5806
63,2021-10-19,2021-10-15,64,969,21,4,397
64,2021-10-19,2021-10-15,65,959,37,3,223
65,2021-10-19,2021-10-15,66,580,46,1,3882
66,2021-10-19,2021-10-15,67,768,9,4,342
67,2021-10-19,2021-10-15,68,331,36,2,443
68,2021-10-19,2021-10-15,69,183,33,3,1000
69,2021-10-19,2021-10-15,70,4,49,2,5234
70,2021-10-19,2021-10-15,71,773,24,1,420
71,2021-10-19,2021-10-15,72,541,30,3,4481
72,2021-10-19,2021-10-15,73,476,5,1,3763
73,2021-10-19,2021-10-15,74,704,2,5,1817
74,2021-10-19,2021-10-15,75,160,50,5,3030
75,2021-10-19,2021-10-15,76,542,43,2,5736
76,2021-10-19,2021-10-15,77,477,15,1,68
77,2021-10-19,2021-10-15,78,778,34,5,5528
78,2021-10-19,2021-10-15,79,808,3,1,784
79,2021-10-19,2021-10-15,80,490,50,3,707
80,2021-10-19,2021-10-15,81,994,20,1,4560
81,2021-10-19,2021-10-15,82,163,30,2,5431
82,2021-10-19,2021-10-15,83,507,36,2,112
83,2021-10-19,2021-10-15,84,749,35,2,901
84,2021-10-19,2021-10-15,85,74,38,3,5355
85,2021-10-19,2021-10-15,86,315,49,2,4061
86,2021-10-19,2021-10-15,87,928,9,3,3514
87,2021-10-19,2021-10-15,88,813,39,1,1504
88,2021-10-19,2021-10-15,89,22,39,3,4095
89,2021-10-19,2021-10-15,90,165,49,2,2029
