,RunDate,PeriodEndDate,FeatureLag,EquityDays,EquityDaysPositive,EquityDaysNegative,StrategyDaysInEquity,StrategyDaysInCash,StrategyCapturePositive,StrategyCaptureNegative,EquityDays>=1%,EquityDays<=-1%,StrategyCaptureExtremePositive,StrategyCaptureExtremeNegative
0,2021-10-19,2021-10-18,1,715,413,302,412,303,243,133,115,79,67,48
1,2021-10-19,2021-10-18,2,715,413,302,426,289,237,113,115,79,62,46
2,2021-10-19,2021-10-18,3,715,413,302,442,273,245,105,115,79,71,56
3,2021-10-19,2021-10-18,4,715,413,302,446,269,266,122,115,79,81,49
4,2021-10-19,2021-10-18,5,715,413,302,456,259,250,96,115,79,64,58
5,2021-10-19,2021-10-18,6,715,413,302,460,255,258,100,115,79,63,43
6,2021-10-19,2021-10-18,7,715,413,302,412,303,233,123,115,79,67,47
7,2021-10-19,2021-10-18,8,715,413,302,450,265,261,113,115,79,70,45
8,2021-10-19,2021-10-18,9,715,413,302,442,273,248,108,115,79,60,50
9,2021-10-19,2021-10-18,10,715,413,302,413,302,239,128,115,79,67,50
10,2021-10-19,2021-10-18,11,715,413,302,407,308,239,134,115,79,68,47
11,2021-10-19,2021-10-18,12,715,413,302,445,270,262,119,115,79,65,47
12,2021-10-19,2021-10-18,13,715,413,302,467,248,273,108,115,79,77,55
13,2021-10-19,2021-10-18,14,715,413,302,420,295,243,125,115,79,71,45
14,2021-10-19,2021-10-18,15,715,413,302,472,243,272,102,115,79,77,54
15,2021-10-19,2021-10-18,16,715,413,302,438,277,265,129,115,79,69,47
16,2021-10-19,2021-10-18,17,715,413,302,403,312,241,140,115,79,66,47
17,2021-10-19,2021-10-18,18,715,413,302,418,297,230,114,115,79,55,52
18,2021-10-19,2021-10-18,19,715,413,302,439,276,251,114,115,79,61,55
19,2021-10-19,2021-10-18,20,715,413,302,452,263,263,113,115,79,66,50
20,2021-10-19,2021-10-18,21,715,413,302,444,271,262,120,115,79,76,49
21,2021-10-19,2021-10-18,22,715,413,302,458,257,271,115,115,79,72,52
22,2021-10-19,2021-10-18,23,715,413,302,430,285,256,128,115,79,69,45
23,2021-10-19,2021-10-18,24,715,413,302,422,293,244,124,115,79,71,50
24,2021-10-19,2021-10-18,25,715,413,302,437,278,254,119,115,79,71,51
25,2021-10-19,2021-10-18,26,715,413,302,400,315,235,137,115,79,69,49
26,2021-10-19,2021-10-18,27,715,413,302,462,253,277,117,115,79,71,40
27,2021-10-19,2021-10-18,28,715,413,302,429,286,245,118,115,79,65,45
28,2021-10-19,2021-10-18,29,715,413,302,415,300,234,121,115,79,66,45
29,2021-10-19,2021-10-18,30,715,413,302,437,278,260,125,115,79,69,50
30,2021-10-19,2021-10-18,31,715,413,302,411,304,228,119,115,79,65,42
31,2021-10-19,2021-10-18,32,715,413,302,452,263,257,107,115,79,71,46
32,2021-10-19,2021-10-18,33,715,413,302,441,274,260,121,115,79,71,40
33,2021-10-19,2021-10-18,34,715,413,302,468,247,264,98,115,79,69,53
34,2021-10-19,2021-10-18,35,715,413,302,440,275,246,108,115,79,67,46
35,2021-10-19,2021-10-18,36,715,413,302,406,309,236,132,115,79,68,39
36,2021-10-19,2021-10-18,37,715,413,302,401,314,225,126,115,79,62,44
