,RunDate,PeriodEndDate,FeatureLag,EquityDays,EquityDaysPositive,EquityDaysNegative,StrategyDaysInEquity,StrategyDaysInCash,StrategyCapturePositive,StrategyCaptureNegative,EquityDays>=1%,EquityDays<=-1%,StrategyCaptureExtremePositive,StrategyCaptureExtremeNegative
0,2021-10-19,2021-10-15,1,714,412,302,411,303,242,133,115,79,67,48
1,2021-10-19,2021-10-15,2,714,412,302,425,289,236,113,115,79,62,46
2,2021-10-19,2021-10-15,3,714,412,302,441,273,244,105,115,79,71,56
3,2021-10-19,2021-10-15,4,714,412,302,446,268,266,122,115,79,81,49
4,2021-10-19,2021-10-15,5,714,412,302,455,259,249,96,115,79,64,58
5,2021-10-19,2021-10-15,6,714,412,302,459,255,257,100,115,79,63,43
6,2021-10-19,2021-10-15,7,714,412,302,411,303,232,123,115,79,67,47
7,2021-10-19,2021-10-15,8,714,412,302,450,264,261,113,115,79,70,45
8,2021-10-19,2021-10-15,9,714,412,302,441,273,247,108,115,79,60,50
9,2021-10-19,2021-10-15,10,714,412,302,412,302,238,128,115,79,67,50
10,2021-10-19,2021-10-15,11,714,412,302,406,308,238,134,115,79,68,47
11,2021-10-19,2021-10-15,12,714,412,302,445,269,262,119,115,79,65,47
12,2021-10-19,2021-10-15,13,714,412,302,466,248,272,108,115,79,77,55
13,2021-10-19,2021-10-15,14,714,412,302,420,294,243,125,115,79,71,45
14,2021-10-19,2021-10-15,15,714,412,302,471,243,271,102,115,79,77,54
15,2021-10-19,2021-10-15,16,714,412,302,438,276,265,129,115,79,69,47
16,2021-10-19,2021-10-15,17,714,412,302,402,312,240,140,115,79,66,47
17,2021-10-19,2021-10-15,18,714,412,302,417,297,229,114,115,79,55,52
18,2021-10-19,2021-10-15,19,714,412,302,439,275,251,114,115,79,61,55
19,2021-10-19,2021-10-15,20,714,412,302,452,262,263,113,115,79,66,50
20,2021-10-19,2021-10-15,21,714,412,302,443,271,261,120,115,79,76,49
21,2021-10-19,2021-10-15,22,714,412,302,457,257,270,115,115,79,72,52
22,2021-10-19,2021-10-15,23,714,412,302,430,284,256,128,115,79,69,45
23,2021-10-19,2021-10-15,24,714,412,302,421,293,243,124,115,79,71,50
24,2021-10-19,2021-10-15,25,714,412,302,436,278,253,119,115,79,71,51
25,2021-10-19,2021-10-15,26,714,412,302,400,314,235,137,115,79,69,49
26,2021-10-19,2021-10-15,27,714,412,302,461,253,276,117,115,79,71,40
27,2021-10-19,2021-10-15,28,714,412,302,428,286,244,118,115,79,65,45
28,2021-10-19,2021-10-15,29,714,412,302,414,300,233,121,115,79,66,45
29,2021-10-19,2021-10-15,30,714,412,302,436,278,259,125,115,79,69,50
30,2021-10-19,2021-10-15,31,714,412,302,411,303,228,119,115,79,65,42
31,2021-10-19,2021-10-15,32,714,412,302,451,263,256,107,115,79,71,46
32,2021-10-19,2021-10-15,33,714,412,302,441,273,260,121,115,79,71,40
33,2021-10-19,2021-10-15,34,714,412,302,468,246,264,98,115,79,69,53
34,2021-10-19,2021-10-15,35,714,412,302,439,275,245,108,115,79,67,46
35,2021-10-19,2021-10-15,36,714,412,302,406,308,236,132,115,79,68,39
36,2021-10-19,2021-10-15,37,714,412,302,400,314,224,126,115,79,62,44
37,2021-10-19,2021-10-15,38,714,412,302,418,296,255,139,115,79,69,43
38,2021-10-19,2021-10-15,39,714,412,302,450,264,259,111,115,79,70,51
39,2021-10-19,2021-10-15,40,714,412,302,469,245,259,92,115,79,66,55
40,2021-10-19,2021-10-15,41,714,412,302,456,258,266,112,115,79,78,45
41,2021-10-19,2021-10-15,42,714,412,302,425,289,248,125,115,79,68,46
42,2021-10-19,2021-10-15,43,714,412,302,389,325,221,134,115,79,62,42
43,2021-10-19,2021-10-15,44,714,412,302,428,286,250,124,115,79,75,48
44,2021-10-19,2021-10-15,45,714,412,302,434,280,252,120,115,79,71,48
45,2021-10-19,2021-10-15,46,714,412,302,435,279,256,123,115,79,78,50
46,2021-10-19,2021-10-15,47,714,412,302,427,287,245,120,115,79,68,49
47,2021-10-19,2021-10-15,48,714,412,302,438,276,256,120,115,79,78,52
48,2021-10-19,2021-10-15,49,714,412,302,433,281,252,121,115,79,67,44
49,2021-10-19,2021-10-15,50,714,412,302,447,267,260,115,115,79,76,51
50,2021-10-19,2021-10-15,51,714,412,302,455,259,256,103,115,79,72,50
51,2021-10-19,2021-10-15,52,714,412,302,402,312,218,118,115,79,64,48
52,2021-10-19,2021-10-15,53,714,412,302,447,267,258,113,115,79,72,53
53,2021-10-19,2021-10-15,54,714,412,302,434,280,247,115,115,79,74,49
54,2021-10-19,2021-10-15,55,714,412,302,434,280,233,101,115,79,58,54
55,2021-10-19,2021-10-15,56,714,412,302,385,329,217,134,115,79,53,37
56,2021-10-19,2021-10-15,57,714,412,302,449,265,268,121,115,79,72,47
57,2021-10-19,2021-10-15,58,714,412,302,442,272,251,111,115,79,66,50
58,2021-10-19,2021-10-15,59,714,412,302,440,274,251,113,115,79,69,57
59,2021-10-19,2021-10-15,60,714,412,302,435,279,249,116,115,79,66,50
60,2021-10-19,2021-10-15,61,714,412,302,432,282,244,114,115,79,66,47
61,2021-10-19,2021-10-15,62,714,412,302,446,268,246,102,115,79,70,53
62,2021-10-19,2021-10-15,63,714,412,302,430,284,250,122,115,79,75,49
63,2021-10-19,2021-10-15,64,714,412,302,405,309,238,135,115,79,76,45
64,2021-10-19,2021-10-15,65,714,412,302,458,256,280,124,115,79,77,51
65,2021-10-19,2021-10-15,66,714,412,302,415,299,241,128,115,79,64,42
66,2021-10-19,2021-10-15,67,714,412,302,433,281,256,125,115,79,68,43
67,2021-10-19,2021-10-15,68,714,412,302,432,282,247,117,115,79,75,50
68,2021-10-19,2021-10-15,69,714,412,302,445,269,250,107,115,79,65,50
69,2021-10-19,2021-10-15,70,714,412,302,432,282,254,124,115,79,74,42
70,2021-10-19,2021-10-15,71,714,412,302,401,313,245,146,115,79,69,45
71,2021-10-19,2021-10-15,72,714,412,302,414,300,237,125,115,79,68,41
72,2021-10-19,2021-10-15,73,714,412,302,417,297,238,123,115,79,62,49
73,2021-10-19,2021-10-15,74,714,412,302,416,298,235,121,115,79,65,44
74,2021-10-19,2021-10-15,75,714,412,302,403,311,224,123,115,79,58,48
75,2021-10-19,2021-10-15,76,714,412,302,454,260,259,107,115,79,70,52
76,2021-10-19,2021-10-15,77,714,412,302,432,282,252,122,115,79,67,45
77,2021-10-19,2021-10-15,78,714,412,302,422,292,248,128,115,79,68,42
78,2021-10-19,2021-10-15,79,714,412,302,364,350,217,155,115,79,52,43
79,2021-10-19,2021-10-15,80,714,412,302,428,286,255,129,115,79,75,43
80,2021-10-19,2021-10-15,81,714,412,302,451,263,258,109,115,79,72,53
81,2021-10-19,2021-10-15,82,714,412,302,472,242,277,107,115,79,79,56
82,2021-10-19,2021-10-15,83,714,412,302,446,268,250,106,115,79,72,53
83,2021-10-19,2021-10-15,84,714,412,302,440,274,238,100,115,79,67,52
84,2021-10-19,2021-10-15,85,714,412,302,425,289,238,115,115,79,72,53
85,2021-10-19,2021-10-15,86,714,412,302,446,268,260,116,115,79,77,47
86,2021-10-19,2021-10-15,87,714,412,302,425,289,247,124,115,79,64,47
87,2021-10-19,2021-10-15,88,714,412,302,413,301,246,135,115,79,70,48
88,2021-10-19,2021-10-15,89,714,412,302,463,251,262,101,115,79,79,54
89,2021-10-19,2021-10-15,90,714,412,302,474,240,279,107,115,79,77,44
