Date,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC
1996-12-31,3.13,0.6,0.83,1.95,7.38
1997-01-02,3.06,0.6,0.83,1.92,7.28
1997-01-03,3.09,0.61,0.83,1.94,7.37
1997-01-06,3.1,0.61,0.85,1.94,7.36
1997-01-07,3.1,0.61,0.84,1.93,7.36
1997-01-08,3.07,0.6,0.83,1.91,7.34
1997-01-09,3.13,0.62,0.85,1.96,7.47
1997-01-10,3.16,0.73,0.95,2.02,7.47
1997-01-13,3.04,0.61,0.83,1.9,7.4
1997-01-14,3.09,0.61,0.83,1.92,7.37
1997-01-15,3.07,0.61,0.83,1.91,7.3
1997-01-16,3.02,0.6,0.82,1.88,7.22
1997-01-17,3.04,0.6,0.82,1.88,7.24
1997-01-20,3.03,0.6,0.82,1.88,7.19
1997-01-21,3.05,0.61,0.83,1.9,7.23
1997-01-22,2.99,0.6,0.82,1.86,7.15
1997-01-23,2.97,0.6,0.82,1.84,7.16
1997-01-24,2.94,0.6,0.82,1.82,7.08
1997-01-27,2.9,0.6,0.82,1.79,7.0
1997-01-28,2.92,0.6,0.82,1.81,6.95
1997-01-29,2.94,0.6,0.82,1.81,7.09
1997-01-30,2.97,0.6,0.82,1.82,7.14
1997-01-31,3.04,0.61,0.82,1.86,7.3
1997-02-03,3.08,0.61,0.82,1.87,7.3
1997-02-04,3.08,0.61,0.82,1.88,7.27
1997-02-05,3.05,0.6,0.82,1.85,7.22
1997-02-06,3.03,0.6,0.82,1.84,7.19
1997-02-07,3.06,0.61,0.82,1.86,7.2
1997-02-10,3.04,0.6,0.81,1.84,7.12
1997-02-11,3.03,0.6,0.81,1.84,7.11
1997-02-12,3.01,0.6,0.82,1.83,7.07
1997-02-13,3.04,0.6,0.81,1.84,7.13
1997-02-14,3.05,0.59,0.81,1.84,7.13
1997-02-18,3.01,0.59,0.81,1.82,7.07
1997-02-19,2.98,0.6,0.81,1.8,7.03
1997-02-20,2.89,0.59,0.81,1.76,6.89
1997-02-21,2.89,0.59,0.81,1.77,6.92
1997-02-24,2.85,0.59,0.8,1.75,6.86
1997-02-25,2.83,0.59,0.8,1.73,6.71
1997-02-26,2.71,0.59,0.8,1.66,6.53
1997-02-27,2.71,0.59,0.79,1.66,6.49
1997-02-28,2.73,0.59,0.79,1.68,6.46
1997-03-03,2.71,0.57,0.77,1.66,6.49
1997-03-04,2.67,0.56,0.77,1.64,6.28
1997-03-05,2.71,0.56,0.76,1.65,6.44
1997-03-06,2.7,0.56,0.77,1.65,6.42
1997-03-07,2.74,0.57,0.77,1.67,6.48
1997-03-10,2.74,0.56,0.76,1.66,6.5
1997-03-11,2.72,0.56,0.76,1.65,6.5
1997-03-12,2.69,0.57,0.77,1.63,6.44
1997-03-13,2.62,0.57,0.77,1.59,6.36
1997-03-14,2.66,0.57,0.77,1.61,6.41
1997-03-17,2.66,0.57,0.77,1.61,6.35
1997-03-18,2.67,0.57,0.77,1.61,6.38
1997-03-19,2.67,0.56,0.76,1.6,6.29
1997-03-20,2.68,0.57,0.76,1.6,6.29
1997-03-21,2.69,0.57,0.76,1.6,6.3
1997-03-24,2.71,0.56,0.76,1.61,6.33
1997-03-25,2.69,0.57,0.76,1.61,6.31
1997-03-26,2.71,0.56,0.76,1.61,6.32
1997-03-27,2.67,0.56,0.75,1.58,6.26
1997-03-31,2.84,0.57,0.76,1.66,6.5
1997-04-01,2.9,0.58,0.77,1.71,6.59
1997-04-02,2.94,0.58,0.77,1.72,6.65
1997-04-03,2.95,0.58,0.77,1.73,6.69
1997-04-04,2.92,0.58,0.77,1.72,6.61
1997-04-07,2.95,0.59,0.78,1.75,6.65
1997-04-08,2.93,0.59,0.78,1.73,6.62
1997-04-09,2.91,0.58,0.78,1.73,6.63
1997-04-10,2.92,0.58,0.78,1.72,6.68
1997-04-11,2.87,0.58,0.77,1.69,6.69
1997-04-14,2.88,0.58,0.78,1.7,6.65
1997-04-15,2.93,0.58,0.78,1.74,6.6
1997-04-16,2.91,0.58,0.77,1.72,6.51
1997-04-17,2.92,0.58,0.77,1.73,6.57
1997-04-18,2.91,0.58,0.77,1.73,6.55
1997-04-21,2.87,0.58,0.77,1.71,6.45
1997-04-22,2.89,0.6,0.79,1.74,6.45
1997-04-23,2.83,0.6,0.79,1.71,6.39
1997-04-24,2.78,0.59,0.79,1.68,6.34
1997-04-25,2.78,0.59,0.79,1.68,6.32
1997-04-28,2.81,0.6,0.79,1.69,6.47
1997-04-29,2.91,0.61,0.79,1.75,6.58
1997-04-30,2.94,0.59,0.79,1.75,6.79
1997-05-01,2.91,0.59,0.79,1.74,6.8
1997-05-02,2.9,0.59,0.79,1.73,6.8
1997-05-05,2.86,0.59,0.79,1.72,6.76
1997-05-06,2.83,0.59,0.79,1.71,6.75
1997-05-07,2.79,0.59,0.78,1.67,6.67
1997-05-08,2.79,0.59,0.78,1.69,6.66
