Date,PositiveReturn,PredictedValue,PredictedMinusActual,Close,EquityPriceReturns,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC,Equity_Position,Strategy_Cum_Rtn,Equity_Cum_Rtn
2018-12-17,0,1,1,242.2222595,-0.019618345,0.020114943,0.008403361,0.006622517,0.025751073,0.017094017,-0.019618345,0.980381655,0.980381655
2018-12-18,0,1,1,241.9566498,-0.001096554,-0.016901408,-0.008333333,-0.006578947,-0.025104603,-0.011204482,-0.001096554,0.9793066135746831,0.9793066135746831
2018-12-19,0,1,1,238.3331757,-0.014975716,0.0,-0.008403361,-0.006622517,0.0,0.001416431,-0.014975716,0.9646407958528669,0.9646407958528669
2018-12-20,0,1,1,234.4535828,-0.016278023,0.008595989,0.008474576,0.006666667,0.012875536,0.004243281,-0.016278023,0.9489383507912356,0.9489383507912356
2018-12-21,0,1,1,229.6497498,-0.020489484,-0.011363636,-0.008403361,-0.006622517,-0.012711864,-0.001408451,-0.020489484,0.9294950936357123,0.9294950936357123
2018-12-24,0,0,0,223.5817413,-0.026422883,0.0,0.008474576,0.006666667,-0.004291845,-0.002820874,-0.0,0.9294950936357123,0.9049351535275019
2018-12-26,1,1,0,234.8781738,0.050524844,-0.002873563,0.0,0.006622517,-0.004310345,0.002828854,0.050524844,0.9764576882404219,0.9506568609895949
2018-12-27,1,0,-1,236.6814117,0.007677333,-0.002881844,0.0,0.0,-0.004329004,-0.001410437,0.0,0.9764576882404219,0.9579553702801467
2018-12-28,0,1,1,236.3760986,-0.001289975,-0.00867052,0.0,-0.006578947,-0.013043478,-0.002824859,-0.001289975,0.9751980822340339,0.9567196318013694
2018-12-31,1,1,0,238.4464417,0.008758682,-0.008746356,-0.008403361,0.0,-0.013215859,-0.005665722,0.008758682,0.9837395321233318,0.9650992348194748
2019-01-02,1,1,0,238.694519,0.00104039,-0.002941176,0.0,-0.006622517,0.0,-0.004273504,0.00104039,0.9847630048951576,0.9661033144123886
2019-01-03,0,0,0,232.998642,-0.023862622,0.014749263,0.008474576,0.013333333,0.013392857,0.005722461,-0.0,0.9847630048951576,0.9430495562076187
2019-01-04,1,1,0,240.8030701,0.033495595,0.014534884,0.016806723,0.006578947,0.013215859,0.00284495,0.033495595,1.0177482276781087,0.9746375622072788
2019-01-07,1,0,-1,242.7017212,0.007884663,0.0,0.0,0.0,0.0,0.0,0.0,1.0177482276781087,0.9823222509324248
2019-01-08,1,0,-1,244.9820099,0.009395437,-0.008595989,0.0,0.0,-0.013043478,-0.009929078,0.0,1.0177482276781087,0.9915515977547585
2019-01-09,1,0,-1,246.1269226,0.004673456,0.00867052,0.0,0.0,0.008810573,0.005730659,0.0,1.0177482276781087,0.996185570518595
2019-01-10,1,1,0,246.9951324,0.003527488,0.008595989,0.0,0.0,0.008733624,0.007122507,0.003527488,1.0213383223382646,0.9996996031643726
2019-01-11,1,1,0,247.0905762,0.000386419,-0.011363636,-0.008264463,-0.006535948,-0.021645022,-0.002828854,0.000386419,1.0217329868714442,1.0000859060853278
2019-01-14,0,1,1,245.5830688,-0.006101031,-0.005747126,0.0,0.0,-0.004424779,-0.005673759,-0.006101031,1.015499362244819,0.9939843509696381
2019-01-15,1,0,-1,248.397644,0.011460787,-0.01734104,-0.008333333,-0.006578947,-0.017777778,-0.018544936,0.0,1.015499362244819,1.0053761938974344
2019-01-16,1,1,0,248.998703,0.002419745,-0.005882353,-0.008403361,-0.006622517,-0.004524887,-0.010174419,0.002419745,1.0179566117491141,1.0078089479157368
2019-01-17,1,1,0,250.8878174,0.007586844,-0.00887574,-0.008474576,-0.006666667,-0.013636364,-0.004405286,0.007586844,1.0256796897612233,1.0154550371853777
2019-01-18,1,1,0,254.2271881,0.013310215,-0.017910448,-0.008547009,-0.013422819,-0.01843318,-0.010324484,0.013310215,1.0393317069530783,1.028970962053148
2019-01-22,0,0,0,250.7924042,-0.013510687,-0.015197568,0.0,-0.006802721,-0.018691589,-0.007462687,-0.0,1.0393317069530783,1.015068857452759
2019-01-23,1,1,0,251.3171692,0.002092428,0.0,-0.008695652,-0.006849315,-0.004761905,0.001503759,0.002092428,1.041506433717995,1.0171928159520214
2019-01-24,1,1,0,251.4507294,0.000531441,0.00308642,-0.00877193,-0.006896552,0.009569378,-0.004504505,0.000531441,1.0420599329386364,1.0177333939193236
2019-01-25,1,1,0,253.5783539,0.008461397,0.0,0.0,-0.006944444,0.004739336,-0.001508296,0.008461397,1.0508772157290236,1.0263448402054325
2019-01-28,0,1,1,251.6510925,-0.00760026,0.009230769,0.0,0.006993007,0.009433962,0.01510574,-0.00760026,1.042890275661407,1.0185443525702127
