,RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
0,2021-10-22,2021-10-01,1,726,21,1,3890
1,2021-10-22,2021-10-01,2,762,12,4,3729
2,2021-10-22,2021-10-01,3,204,34,1,3416
3,2021-10-22,2021-10-01,4,920,12,5,3012
4,2021-10-22,2021-10-01,5,483,14,2,195
5,2021-10-22,2021-10-01,6,670,47,2,1254
6,2021-10-22,2021-10-01,7,702,8,3,3597
7,2021-10-22,2021-10-01,8,387,31,2,3111
8,2021-10-22,2021-10-01,9,709,49,2,3270
9,2021-10-22,2021-10-01,10,271,35,5,1284
10,2021-10-22,2021-10-01,11,43,30,2,10
11,2021-10-22,2021-10-01,12,271,47,3,4682
12,2021-10-22,2021-10-01,13,759,32,4,5598
13,2021-10-22,2021-10-01,14,419,49,1,5563
14,2021-10-22,2021-10-01,15,629,31,1,3159
15,2021-10-22,2021-10-01,16,922,48,1,5964
16,2021-10-22,2021-10-01,17,39,5,1,2279
17,2021-10-22,2021-10-01,18,250,3,1,1965
18,2021-10-22,2021-10-01,19,560,47,4,2618
19,2021-10-22,2021-10-01,20,677,40,1,4360
20,2021-10-22,2021-10-01,21,390,39,1,4032
21,2021-10-22,2021-10-01,22,330,34,2,2440
22,2021-10-22,2021-10-01,23,254,45,2,1903
23,2021-10-22,2021-10-01,24,86,42,2,5285
24,2021-10-22,2021-10-01,25,877,25,2,2732
25,2021-10-22,2021-10-01,26,113,33,1,4533
26,2021-10-22,2021-10-01,27,166,49,1,873
27,2021-10-22,2021-10-01,28,695,35,5,636
28,2021-10-22,2021-10-01,29,4,43,5,5706
29,2021-10-22,2021-10-01,30,447,43,2,4006
30,2021-10-22,2021-10-01,31,38,45,5,5468
31,2021-10-22,2021-10-01,32,215,16,5,3156
32,2021-10-22,2021-10-01,33,640,16,2,652
33,2021-10-22,2021-10-01,34,45,9,5,4421
34,2021-10-22,2021-10-01,35,71,38,3,1613
35,2021-10-22,2021-10-01,36,442,7,5,669
36,2021-10-22,2021-10-01,37,100,39,3,3391
37,2021-10-22,2021-10-01,38,516,27,2,3360
38,2021-10-22,2021-10-01,39,863,6,3,2557
39,2021-10-22,2021-10-01,40,692,47,4,1766
40,2021-10-22,2021-10-01,41,690,2,3,812
41,2021-10-22,2021-10-01,42,467,46,4,1951
42,2021-10-22,2021-10-01,43,81,43,1,4438
43,2021-10-22,2021-10-01,44,412,49,1,5209
44,2021-10-22,2021-10-01,45,19,31,4,1028
45,2021-10-22,2021-10-01,46,330,3,1,3244
46,2021-10-22,2021-10-01,47,210,3,3,90
47,2021-10-22,2021-10-01,48,865,37,5,2799
48,2021-10-22,2021-10-01,49,419,39,2,227
49,2021-10-22,2021-10-01,50,509,36,2,2529
50,2021-10-22,2021-10-01,51,490,40,4,2993
51,2021-10-22,2021-10-01,52,134,37,1,1657
52,2021-10-22,2021-10-01,53,582,42,4,2419
53,2021-10-22,2021-10-01,54,2,41,1,5088
54,2021-10-22,2021-10-01,55,43,44,3,2410
55,2021-10-22,2021-10-01,56,82,45,1,3419
56,2021-10-22,2021-10-01,57,167,32,3,201
57,2021-10-22,2021-10-01,58,587,12,2,3456
58,2021-10-22,2021-10-01,59,774,40,3,2679
59,2021-10-22,2021-10-01,60,817,15,1,2071
60,2021-10-22,2021-10-01,61,54,39,2,2643
61,2021-10-22,2021-10-01,62,802,37,1,2572
62,2021-10-22,2021-10-01,63,74,48,3,3574
63,2021-10-22,2021-10-01,64,679,25,3,2185
64,2021-10-22,2021-10-01,65,382,34,2,3377
65,2021-10-22,2021-10-01,66,595,35,1,645
66,2021-10-22,2021-10-01,67,663,4,4,5088
67,2021-10-22,2021-10-01,68,374,50,1,1631
68,2021-10-22,2021-10-01,69,568,9,4,5461
69,2021-10-22,2021-10-01,70,10,30,3,4021
70,2021-10-22,2021-10-01,71,661,46,1,1629
71,2021-10-22,2021-10-01,72,930,44,3,5792
72,2021-10-22,2021-10-01,73,460,14,4,97
73,2021-10-22,2021-10-01,74,28,50,4,911
74,2021-10-22,2021-10-01,75,967,49,4,476
75,2021-10-22,2021-10-01,76,538,43,4,5778
76,2021-10-22,2021-10-01,77,395,8,3,5137
77,2021-10-22,2021-10-01,78,855,12,1,2788
78,2021-10-22,2021-10-01,79,25,31,2,1597
79,2021-10-22,2021-10-01,80,230,33,1,733
80,2021-10-22,2021-10-01,81,309,3,2,3823
81,2021-10-22,2021-10-01,82,963,47,2,5987
82,2021-10-22,2021-10-01,83,53,46,1,1841
83,2021-10-22,2021-10-01,84,331,34,3,888
84,2021-10-22,2021-10-01,85,960,24,4,2223
85,2021-10-22,2021-10-01,86,519,29,1,15
86,2021-10-22,2021-10-01,87,854,5,2,5677
87,2021-10-22,2021-10-01,88,464,47,2,1650
88,2021-10-22,2021-10-01,89,525,23,4,4757
89,2021-10-22,2021-10-01,90,499,49,1,534
