,RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
0,2021-10-20,2021-10-12,1,319,49,1,2529
1,2021-10-20,2021-10-12,2,594,7,3,1351
2,2021-10-20,2021-10-12,3,5,9,3,1044
3,2021-10-20,2021-10-12,4,422,15,1,227
4,2021-10-20,2021-10-12,5,398,23,5,3258
5,2021-10-20,2021-10-12,6,361,48,4,1189
6,2021-10-20,2021-10-12,7,458,3,2,1946
7,2021-10-20,2021-10-12,8,51,36,2,560
8,2021-10-20,2021-10-12,9,306,43,1,2294
9,2021-10-20,2021-10-12,10,569,42,1,4590
10,2021-10-20,2021-10-12,11,874,50,4,3259
11,2021-10-20,2021-10-12,12,326,42,2,536
12,2021-10-20,2021-10-12,13,668,25,4,539
13,2021-10-20,2021-10-12,14,323,23,1,2016
14,2021-10-20,2021-10-12,15,892,44,1,3356
15,2021-10-20,2021-10-12,16,320,19,2,4051
16,2021-10-20,2021-10-12,17,124,37,1,2041
17,2021-10-20,2021-10-12,18,605,10,2,5338
18,2021-10-20,2021-10-12,19,327,29,3,4428
19,2021-10-20,2021-10-12,20,308,20,5,2795
20,2021-10-20,2021-10-12,21,327,13,1,5698
21,2021-10-20,2021-10-12,22,471,19,3,1843
22,2021-10-20,2021-10-12,23,221,36,5,360
23,2021-10-20,2021-10-12,24,965,49,5,5757
24,2021-10-20,2021-10-12,25,901,37,1,3766
25,2021-10-20,2021-10-12,26,833,23,3,2551
26,2021-10-20,2021-10-12,27,796,49,2,3004
27,2021-10-20,2021-10-12,28,964,48,2,936
28,2021-10-20,2021-10-12,29,808,43,4,4835
29,2021-10-20,2021-10-12,30,597,43,1,5575
30,2021-10-20,2021-10-12,31,586,47,4,1611
31,2021-10-20,2021-10-12,32,605,45,5,845
32,2021-10-20,2021-10-12,33,699,24,4,2343
33,2021-10-20,2021-10-12,34,510,48,5,49
34,2021-10-20,2021-10-12,35,317,8,4,1788
35,2021-10-20,2021-10-12,36,917,6,4,1862
36,2021-10-20,2021-10-12,37,917,49,5,2081
37,2021-10-20,2021-10-12,38,998,3,3,4354
38,2021-10-20,2021-10-12,39,224,4,5,1272
39,2021-10-20,2021-10-12,40,238,50,4,1612
40,2021-10-20,2021-10-12,41,966,36,1,5142
41,2021-10-20,2021-10-12,42,811,36,5,3033
42,2021-10-20,2021-10-12,43,54,37,1,2543
43,2021-10-20,2021-10-12,44,463,35,5,4788
44,2021-10-20,2021-10-12,45,857,43,5,1427
45,2021-10-20,2021-10-12,46,232,19,3,5268
46,2021-10-20,2021-10-12,47,165,39,3,5005
47,2021-10-20,2021-10-12,48,258,36,4,3584
48,2021-10-20,2021-10-12,49,579,41,5,4053
49,2021-10-20,2021-10-12,50,627,38,1,57
50,2021-10-20,2021-10-12,51,246,43,1,408
51,2021-10-20,2021-10-12,52,718,45,5,1420
52,2021-10-20,2021-10-12,53,736,37,1,4788
53,2021-10-20,2021-10-12,54,925,41,1,4426
54,2021-10-20,2021-10-12,55,331,49,2,1571
55,2021-10-20,2021-10-12,56,968,50,1,4237
56,2021-10-20,2021-10-12,57,744,47,1,4510
57,2021-10-20,2021-10-12,58,810,5,1,770
58,2021-10-20,2021-10-12,59,721,43,4,618
59,2021-10-20,2021-10-12,60,191,49,4,935
60,2021-10-20,2021-10-12,61,137,27,1,289
61,2021-10-20,2021-10-12,62,415,40,3,1424
62,2021-10-20,2021-10-12,63,564,14,5,3071
63,2021-10-20,2021-10-12,64,858,30,2,4707
64,2021-10-20,2021-10-12,65,673,39,1,3565
65,2021-10-20,2021-10-12,66,78,41,5,5234
66,2021-10-20,2021-10-12,67,28,4,2,133
67,2021-10-20,2021-10-12,68,454,21,5,1230
68,2021-10-20,2021-10-12,69,805,37,5,2483
69,2021-10-20,2021-10-12,70,320,29,3,5037
70,2021-10-20,2021-10-12,71,778,21,1,4240
71,2021-10-20,2021-10-12,72,838,39,4,4203
72,2021-10-20,2021-10-12,73,44,9,2,5145
73,2021-10-20,2021-10-12,74,393,32,1,4547
74,2021-10-20,2021-10-12,75,525,19,1,2967
75,2021-10-20,2021-10-12,76,349,43,2,2559
76,2021-10-20,2021-10-12,77,317,2,1,5689
77,2021-10-20,2021-10-12,78,978,20,1,2619
78,2021-10-20,2021-10-12,79,420,42,1,1135
79,2021-10-20,2021-10-12,80,871,18,2,1774
80,2021-10-20,2021-10-12,81,950,26,2,3018
81,2021-10-20,2021-10-12,82,64,29,4,181
82,2021-10-20,2021-10-12,83,914,47,1,3028
83,2021-10-20,2021-10-12,84,582,44,4,3981
84,2021-10-20,2021-10-12,85,811,22,2,2706
85,2021-10-20,2021-10-12,86,53,42,2,2382
86,2021-10-20,2021-10-12,87,964,46,3,3351
87,2021-10-20,2021-10-12,88,878,50,5,1001
88,2021-10-20,2021-10-12,89,13,27,5,3924
89,2021-10-20,2021-10-12,90,110,40,1,858
