,RunDate,PeriodEndDate,FeatureLag,EquityDays,EquityDaysPositive,EquityDaysNegative,StrategyDaysInEquity,StrategyDaysInCash,StrategyCapturePositive,StrategyCaptureNegative,EquityDays>=1%,EquityDays<=-1%,StrategyCaptureExtremePositive,StrategyCaptureExtremeNegative
0,2021-10-22,2021-10-01,1,704,406,298,405,299,244,137,162,78,65,45
1,2021-10-22,2021-10-01,2,704,406,298,415,289,232,115,174,78,61,44
2,2021-10-22,2021-10-01,3,704,406,298,438,266,246,106,160,78,70,56
3,2021-10-22,2021-10-01,4,704,406,298,433,271,257,122,149,78,74,49
4,2021-10-22,2021-10-01,5,704,406,298,438,266,244,104,162,78,64,51
5,2021-10-22,2021-10-01,6,704,406,298,456,248,252,94,154,78,65,48
6,2021-10-22,2021-10-01,7,704,406,298,411,293,232,119,174,78,66,47
7,2021-10-22,2021-10-01,8,704,406,298,448,256,259,109,147,78,69,46
8,2021-10-22,2021-10-01,9,704,406,298,418,286,231,111,175,78,60,46
9,2021-10-22,2021-10-01,10,704,406,298,409,295,235,124,171,78,63,45
10,2021-10-22,2021-10-01,11,704,406,298,406,298,236,128,170,78,65,45
11,2021-10-22,2021-10-01,12,704,406,298,438,266,260,120,146,78,65,44
12,2021-10-22,2021-10-01,13,704,406,298,455,249,263,106,143,78,78,51
13,2021-10-22,2021-10-01,14,704,406,298,417,287,236,117,170,78,67,45
14,2021-10-22,2021-10-01,15,704,406,298,470,234,271,99,135,78,77,54
15,2021-10-22,2021-10-01,16,704,406,298,439,265,262,121,144,78,70,49
16,2021-10-22,2021-10-01,17,704,406,298,395,309,232,135,174,78,67,46
17,2021-10-22,2021-10-01,18,704,406,298,412,292,232,118,174,78,55,47
18,2021-10-22,2021-10-01,19,704,406,298,425,279,247,120,159,78,60,50
19,2021-10-22,2021-10-01,20,704,406,298,441,263,255,112,151,78,65,48
20,2021-10-22,2021-10-01,21,704,406,298,441,263,260,117,146,78,75,51
21,2021-10-22,2021-10-01,22,704,406,298,436,268,257,119,149,78,70,50
22,2021-10-22,2021-10-01,23,704,406,298,427,277,250,121,156,78,73,51
