,RunDate,PeriodEndDate,FeatureLag,EquityDays,EquityDaysPositive,EquityDaysNegative,StrategyDaysInEquity,StrategyDaysInCash,StrategyCapturePositive,StrategyCaptureNegative,EquityDays>=1%,EquityDays<=-1%,StrategyCaptureExtremePositive,StrategyCaptureExtremeNegative
0,2021-10-21,2021-10-08,1,709,409,300,401,308,236,135,173,79,65,47
1,2021-10-21,2021-10-08,2,709,409,300,428,281,242,114,167,79,65,48
2,2021-10-21,2021-10-08,3,709,409,300,433,276,243,110,166,79,73,57
3,2021-10-21,2021-10-08,4,709,409,300,438,271,260,122,149,79,79,48
4,2021-10-21,2021-10-08,5,709,409,300,449,260,253,104,156,79,67,52
5,2021-10-21,2021-10-08,6,709,409,300,448,261,251,103,158,79,64,44
6,2021-10-21,2021-10-08,7,709,409,300,405,304,228,123,181,79,66,49
7,2021-10-21,2021-10-08,8,709,409,300,445,264,257,112,152,79,68,44
8,2021-10-21,2021-10-08,9,709,409,300,423,286,237,114,172,79,59,49
9,2021-10-21,2021-10-08,10,709,409,300,418,291,244,126,165,79,66,49
10,2021-10-21,2021-10-08,11,709,409,300,414,295,239,125,170,79,66,47
11,2021-10-21,2021-10-08,12,709,409,300,446,263,263,117,146,79,64,46
12,2021-10-21,2021-10-08,13,709,409,300,460,249,266,106,143,79,76,55
13,2021-10-21,2021-10-08,14,709,409,300,426,283,246,120,163,79,70,48
14,2021-10-21,2021-10-08,15,709,409,300,481,228,280,99,129,79,79,55
15,2021-10-21,2021-10-08,16,709,409,300,442,267,261,119,148,79,70,53
16,2021-10-21,2021-10-08,17,709,409,300,404,305,238,134,171,79,69,52
17,2021-10-21,2021-10-08,18,709,409,300,424,285,241,117,168,79,57,48
18,2021-10-21,2021-10-08,19,709,409,300,440,269,258,118,151,79,64,53
19,2021-10-21,2021-10-08,20,709,409,300,459,250,264,105,145,79,66,51
20,2021-10-21,2021-10-08,21,709,409,300,437,272,256,119,153,79,71,49
21,2021-10-21,2021-10-08,22,709,409,300,444,265,262,118,147,79,71,52
22,2021-10-21,2021-10-08,23,709,409,300,440,269,258,118,151,79,76,52
23,2021-10-21,2021-10-08,24,709,409,300,424,285,242,118,167,79,71,53
24,2021-10-21,2021-10-08,25,709,409,300,434,275,254,120,155,79,70,48
25,2021-10-21,2021-10-08,26,709,409,300,404,305,236,132,173,79,71,50
26,2021-10-21,2021-10-08,27,709,409,300,462,247,272,110,137,79,70,41
27,2021-10-21,2021-10-08,28,709,409,300,429,280,245,116,164,79,66,45
28,2021-10-21,2021-10-08,29,709,409,300,423,286,239,116,170,79,68,43
29,2021-10-21,2021-10-08,30,709,409,300,444,265,263,119,146,79,69,51
30,2021-10-21,2021-10-08,31,709,409,300,410,299,233,123,176,79,65,39
31,2021-10-21,2021-10-08,32,709,409,300,451,258,259,108,150,79,71,45
32,2021-10-21,2021-10-08,33,709,409,300,446,263,262,116,147,79,71,41
