RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
10/22/2021,10/1/2021,1,726,21,1,3890
10/22/2021,10/1/2021,2,762,12,4,3729
10/22/2021,10/1/2021,3,204,34,1,3416
10/22/2021,10/1/2021,4,920,12,5,3012
10/22/2021,10/1/2021,5,483,14,2,195
10/22/2021,10/1/2021,6,670,47,2,1254
10/22/2021,10/1/2021,7,702,8,3,3597
10/22/2021,10/1/2021,8,387,31,2,3111
10/22/2021,10/1/2021,9,709,49,2,3270
10/22/2021,10/1/2021,10,271,35,5,1284
10/22/2021,10/1/2021,11,43,30,2,10
10/22/2021,10/1/2021,12,271,47,3,4682
10/22/2021,10/1/2021,13,759,32,4,5598
10/22/2021,10/1/2021,14,419,49,1,5563
10/22/2021,10/1/2021,15,629,31,1,3159
10/22/2021,10/1/2021,16,922,48,1,5964
10/22/2021,10/1/2021,17,39,5,1,2279
10/22/2021,10/1/2021,18,250,3,1,1965
10/22/2021,10/1/2021,19,560,47,4,2618
10/22/2021,10/1/2021,20,677,40,1,4360
10/22/2021,10/1/2021,21,390,39,1,4032
10/22/2021,10/1/2021,22,330,34,2,2440
10/22/2021,10/1/2021,23,254,45,2,1903
10/22/2021,10/1/2021,24,86,42,2,5285
10/22/2021,10/1/2021,25,877,25,2,2732
10/22/2021,10/1/2021,26,113,33,1,4533
10/22/2021,10/1/2021,27,166,49,1,873
10/22/2021,10/1/2021,28,695,35,5,636
10/22/2021,10/1/2021,29,4,43,5,5706
10/22/2021,10/1/2021,30,447,43,2,4006
10/22/2021,10/1/2021,31,38,45,5,5468
10/22/2021,10/1/2021,32,215,16,5,3156
10/22/2021,10/1/2021,33,640,16,2,652
10/22/2021,10/1/2021,34,45,9,5,4421
10/22/2021,10/1/2021,35,71,38,3,1613
10/22/2021,10/1/2021,36,442,7,5,669
10/22/2021,10/1/2021,37,100,39,3,3391
10/22/2021,10/1/2021,38,516,27,2,3360
10/22/2021,10/1/2021,39,863,6,3,2557
10/22/2021,10/1/2021,40,692,47,4,1766
10/22/2021,10/1/2021,41,690,2,3,812
10/22/2021,10/1/2021,42,467,46,4,1951
10/22/2021,10/1/2021,43,81,43,1,4438
10/22/2021,10/1/2021,44,412,49,1,5209
10/22/2021,10/1/2021,45,19,31,4,1028
10/22/2021,10/1/2021,46,330,3,1,3244
10/22/2021,10/1/2021,47,210,3,3,90
10/22/2021,10/1/2021,48,865,37,5,2799
10/22/2021,10/1/2021,49,419,39,2,227
10/22/2021,10/1/2021,50,509,36,2,2529
10/22/2021,10/1/2021,51,490,40,4,2993
10/22/2021,10/1/2021,52,134,37,1,1657
10/22/2021,10/1/2021,53,582,42,4,2419
10/22/2021,10/1/2021,54,2,41,1,5088
10/22/2021,10/1/2021,55,43,44,3,2410
10/22/2021,10/1/2021,56,82,45,1,3419
10/22/2021,10/1/2021,57,167,32,3,201
10/22/2021,10/1/2021,58,587,12,2,3456
10/22/2021,10/1/2021,59,774,40,3,2679
10/22/2021,10/1/2021,60,817,15,1,2071
10/22/2021,10/1/2021,61,54,39,2,2643
10/22/2021,10/1/2021,62,802,37,1,2572
10/22/2021,10/1/2021,63,74,48,3,3574
10/22/2021,10/1/2021,64,679,25,3,2185
10/22/2021,10/1/2021,65,382,34,2,3377
10/22/2021,10/1/2021,66,595,35,1,645
10/22/2021,10/1/2021,67,663,4,4,5088
10/22/2021,10/1/2021,68,374,50,1,1631
10/22/2021,10/1/2021,69,568,9,4,5461
10/22/2021,10/1/2021,70,10,30,3,4021
10/22/2021,10/1/2021,71,661,46,1,1629
10/22/2021,10/1/2021,72,930,44,3,5792
10/22/2021,10/1/2021,73,460,14,4,97
10/22/2021,10/1/2021,74,28,50,4,911
10/22/2021,10/1/2021,75,967,49,4,476
10/22/2021,10/1/2021,76,538,43,4,5778
10/22/2021,10/1/2021,77,395,8,3,5137
10/22/2021,10/1/2021,78,855,12,1,2788
10/22/2021,10/1/2021,79,25,31,2,1597
10/22/2021,10/1/2021,80,230,33,1,733
10/22/2021,10/1/2021,81,309,3,2,3823
10/22/2021,10/1/2021,82,963,47,2,5987
10/22/2021,10/1/2021,83,53,46,1,1841
10/22/2021,10/1/2021,84,331,34,3,888
10/22/2021,10/1/2021,85,960,24,4,2223
10/22/2021,10/1/2021,86,519,29,1,15
10/22/2021,10/1/2021,87,854,5,2,5677
10/22/2021,10/1/2021,88,464,47,2,1650
10/22/2021,10/1/2021,89,525,23,4,4757
10/22/2021,10/1/2021,90,499,49,1,534
10/22/2021,10/4/2021,1,430,42,3,953
10/22/2021,10/4/2021,2,263,8,3,3241
10/22/2021,10/4/2021,3,586,33,1,5942
10/22/2021,10/4/2021,4,606,46,1,678
10/22/2021,10/4/2021,5,32,46,1,865
10/22/2021,10/4/2021,6,868,45,1,330
10/22/2021,10/4/2021,7,502,2,3,4792
10/22/2021,10/4/2021,8,652,34,5,4075
10/22/2021,10/4/2021,9,539,49,5,3939
10/22/2021,10/4/2021,10,300,43,4,3370
10/22/2021,10/4/2021,11,152,44,3,2213
10/22/2021,10/4/2021,12,681,31,1,4046
10/22/2021,10/4/2021,13,328,24,3,5326
10/22/2021,10/4/2021,14,420,35,1,1415
10/22/2021,10/4/2021,15,61,50,5,4063
10/22/2021,10/4/2021,16,803,30,2,5834
10/22/2021,10/4/2021,17,94,31,5,11
10/22/2021,10/4/2021,18,151,20,4,3846
10/22/2021,10/4/2021,19,92,2,2,1457
10/22/2021,10/4/2021,20,502,47,2,3200
10/22/2021,10/4/2021,21,397,46,3,2757
10/22/2021,10/4/2021,22,883,12,1,5316
10/22/2021,10/4/2021,23,702,38,5,5939
10/22/2021,10/4/2021,24,294,50,4,3248
10/22/2021,10/4/2021,25,192,27,2,3711
10/22/2021,10/4/2021,26,719,4,2,4912
10/22/2021,10/4/2021,27,524,39,3,4701
10/22/2021,10/4/2021,28,942,50,5,2237
10/22/2021,10/4/2021,29,73,36,1,1322
10/22/2021,10/4/2021,30,36,43,1,1382
10/22/2021,10/4/2021,31,697,46,1,5992
10/22/2021,10/4/2021,32,825,5,3,5727
10/22/2021,10/4/2021,33,337,36,2,21
10/22/2021,10/4/2021,34,7,27,2,5710
10/22/2021,10/4/2021,35,108,6,5,5364
10/22/2021,10/4/2021,36,972,2,4,5713
10/22/2021,10/4/2021,37,917,44,3,4521
10/22/2021,10/4/2021,38,284,5,1,5241
10/22/2021,10/4/2021,39,733,8,2,5130
10/22/2021,10/4/2021,40,384,39,1,3468
10/22/2021,10/4/2021,41,200,17,4,2274
10/22/2021,10/4/2021,42,157,32,1,478
10/22/2021,10/4/2021,43,156,30,2,3359
10/22/2021,10/4/2021,44,658,50,3,5905
10/22/2021,10/4/2021,45,106,36,3,4571
10/22/2021,10/4/2021,46,744,30,2,5542
10/22/2021,10/4/2021,47,66,47,3,4363
10/22/2021,10/4/2021,48,945,35,1,744
10/22/2021,10/4/2021,49,938,37,3,2319
10/22/2021,10/4/2021,50,609,20,2,5560
10/22/2021,10/4/2021,51,35,7,4,284
10/22/2021,10/4/2021,52,380,42,1,1217
10/22/2021,10/4/2021,53,691,39,2,4850
10/22/2021,10/4/2021,54,257,50,3,3376
10/22/2021,10/4/2021,55,281,6,3,5843
10/22/2021,10/4/2021,56,732,42,5,5058
10/22/2021,10/4/2021,57,571,25,1,2278
10/22/2021,10/4/2021,58,329,49,3,3153
10/22/2021,10/4/2021,59,337,7,1,5637
10/22/2021,10/4/2021,60,90,13,3,3916
10/22/2021,10/4/2021,61,872,25,3,1052
10/22/2021,10/4/2021,62,395,36,2,5738
10/22/2021,10/4/2021,63,561,22,4,3446
10/22/2021,10/4/2021,64,733,17,1,3550
10/22/2021,10/4/2021,65,33,35,1,4531
10/22/2021,10/4/2021,66,570,46,1,3308
10/22/2021,10/4/2021,67,552,5,1,2332
10/22/2021,10/4/2021,68,126,35,1,1203
10/22/2021,10/4/2021,69,136,33,2,2209
10/22/2021,10/4/2021,70,686,14,1,3431
10/22/2021,10/4/2021,71,76,35,1,4223
10/22/2021,10/4/2021,72,207,26,5,4233
10/22/2021,10/4/2021,73,188,5,1,4298
10/22/2021,10/4/2021,74,877,17,2,638
10/22/2021,10/4/2021,75,65,39,1,4606
10/22/2021,10/4/2021,76,76,18,3,642
10/22/2021,10/4/2021,77,521,11,3,5874
10/22/2021,10/4/2021,78,259,31,1,4070
10/22/2021,10/4/2021,79,625,5,3,5260
10/22/2021,10/4/2021,80,798,36,1,3331
10/22/2021,10/4/2021,81,993,27,5,1604
10/22/2021,10/4/2021,82,22,25,2,4032
10/22/2021,10/4/2021,83,360,48,5,4951
10/22/2021,10/4/2021,84,370,26,4,1523
10/22/2021,10/4/2021,85,93,5,2,5291
10/22/2021,10/4/2021,86,460,36,1,2098
10/22/2021,10/4/2021,87,242,2,2,40
10/22/2021,10/4/2021,88,973,19,4,3732
10/22/2021,10/4/2021,89,505,4,2,2201
10/22/2021,10/4/2021,90,314,30,1,1569
10/22/2021,10/5/2021,1,968,10,1,2795
10/22/2021,10/5/2021,2,110,12,4,705
10/22/2021,10/5/2021,3,86,47,4,2009
10/22/2021,10/5/2021,4,840,34,2,219
10/22/2021,10/5/2021,5,210,48,2,4278
10/22/2021,10/5/2021,6,25,38,2,2664
10/22/2021,10/5/2021,7,613,12,5,2170
10/22/2021,10/5/2021,8,71,39,1,852
10/22/2021,10/5/2021,9,141,32,1,5632
10/22/2021,10/5/2021,10,302,37,5,952
10/22/2021,10/5/2021,11,571,22,2,4046
10/22/2021,10/5/2021,12,611,43,4,4337
10/22/2021,10/5/2021,13,767,27,1,1116
10/22/2021,10/5/2021,14,603,7,1,2749
10/22/2021,10/5/2021,15,32,42,4,2344
10/22/2021,10/5/2021,16,665,43,5,2090
10/22/2021,10/5/2021,17,129,38,1,3224
10/22/2021,10/5/2021,18,121,2,2,605
10/22/2021,10/5/2021,19,24,48,3,5743
10/22/2021,10/5/2021,20,287,25,1,2241
10/22/2021,10/5/2021,21,74,25,4,1868
10/22/2021,10/5/2021,22,175,7,3,1102
10/22/2021,10/5/2021,23,649,41,5,10
10/22/2021,10/5/2021,24,996,22,1,5142
10/22/2021,10/5/2021,25,676,26,4,4026
10/22/2021,10/5/2021,26,52,31,5,2864
10/22/2021,10/5/2021,27,137,31,1,2753
10/22/2021,10/5/2021,28,955,41,5,2218
10/22/2021,10/5/2021,29,805,40,4,4269
10/22/2021,10/5/2021,30,521,48,1,479
10/22/2021,10/5/2021,31,949,49,1,1125
10/22/2021,10/5/2021,32,443,3,5,5220
10/22/2021,10/5/2021,33,174,26,1,3759
10/22/2021,10/5/2021,34,136,42,1,5086
10/22/2021,10/5/2021,35,358,7,5,1392
10/22/2021,10/5/2021,36,22,40,1,3221
10/22/2021,10/5/2021,37,755,47,5,2618
10/22/2021,10/5/2021,38,310,37,3,2260
10/22/2021,10/5/2021,39,302,5,4,730
10/22/2021,10/5/2021,40,391,33,3,2291
10/22/2021,10/5/2021,41,486,43,1,166
10/22/2021,10/5/2021,42,926,38,1,4000
10/22/2021,10/5/2021,43,990,21,1,4326
10/22/2021,10/5/2021,44,540,41,4,4860
10/22/2021,10/5/2021,45,951,4,2,5798
10/22/2021,10/5/2021,46,554,3,4,1698
10/22/2021,10/5/2021,47,412,8,3,440
10/22/2021,10/5/2021,48,442,48,1,1855
10/22/2021,10/5/2021,49,967,49,3,5415
10/22/2021,10/5/2021,50,857,20,1,3626
10/22/2021,10/5/2021,51,753,34,2,5413
10/22/2021,10/5/2021,52,828,48,1,1633
10/22/2021,10/5/2021,53,944,46,1,3781
10/22/2021,10/5/2021,54,792,50,4,4546
10/22/2021,10/5/2021,55,65,26,3,4963
10/22/2021,10/5/2021,56,504,36,1,5602
10/22/2021,10/5/2021,57,23,20,2,94
10/22/2021,10/5/2021,58,927,16,5,669
10/22/2021,10/5/2021,59,49,18,4,720
10/22/2021,10/5/2021,60,47,17,4,4113
10/22/2021,10/5/2021,61,274,47,2,5421
10/22/2021,10/5/2021,62,732,43,1,1496
10/22/2021,10/5/2021,63,193,35,5,4249
10/22/2021,10/5/2021,64,171,46,1,5700
10/22/2021,10/5/2021,65,764,41,1,2306
10/22/2021,10/5/2021,66,25,40,3,1920
10/22/2021,10/5/2021,67,169,22,5,5818
10/22/2021,10/5/2021,68,314,14,5,697
10/22/2021,10/5/2021,69,269,33,2,4453
10/22/2021,10/5/2021,70,800,49,2,3790
