RunDate,PeriodEndDate,FeatureLag,EquityDays,EquityDaysPositive,EquityDaysNegative,StrategyDaysInEquity,StrategyDaysInCash,StrategyCapturePositive,StrategyCaptureNegative,EquityDays>=1%,EquityDays<=-1%,StrategyCaptureExtremePositive,StrategyCaptureExtremeNegative
10/22/2021,10/1/2021,1,704,406,298,405,299,244,137,162,78,65,45
10/22/2021,10/1/2021,2,704,406,298,415,289,232,115,174,78,61,44
10/22/2021,10/1/2021,3,704,406,298,438,266,246,106,160,78,70,56
10/22/2021,10/1/2021,4,704,406,298,433,271,257,122,149,78,74,49
10/22/2021,10/1/2021,5,704,406,298,438,266,244,104,162,78,64,51
10/22/2021,10/1/2021,6,704,406,298,456,248,252,94,154,78,65,48
10/22/2021,10/1/2021,7,704,406,298,411,293,232,119,174,78,66,47
10/22/2021,10/1/2021,8,704,406,298,448,256,259,109,147,78,69,46
10/22/2021,10/1/2021,9,704,406,298,418,286,231,111,175,78,60,46
10/22/2021,10/1/2021,10,704,406,298,409,295,235,124,171,78,63,45
10/22/2021,10/1/2021,11,704,406,298,406,298,236,128,170,78,65,45
10/22/2021,10/1/2021,12,704,406,298,438,266,260,120,146,78,65,44
10/22/2021,10/1/2021,13,704,406,298,455,249,263,106,143,78,78,51
10/22/2021,10/1/2021,14,704,406,298,417,287,236,117,170,78,67,45
10/22/2021,10/1/2021,15,704,406,298,470,234,271,99,135,78,77,54
10/22/2021,10/1/2021,16,704,406,298,439,265,262,121,144,78,70,49
10/22/2021,10/1/2021,17,704,406,298,395,309,232,135,174,78,67,46
10/22/2021,10/1/2021,18,704,406,298,412,292,232,118,174,78,55,47
10/22/2021,10/1/2021,19,704,406,298,425,279,247,120,159,78,60,50
10/22/2021,10/1/2021,20,704,406,298,441,263,255,112,151,78,65,48
10/22/2021,10/1/2021,21,704,406,298,441,263,260,117,146,78,75,51
10/22/2021,10/1/2021,22,704,406,298,436,268,257,119,149,78,70,50
10/22/2021,10/1/2021,23,704,406,298,427,277,250,121,156,78,73,51
10/22/2021,10/1/2021,24,704,406,298,427,277,241,112,165,78,70,51
10/22/2021,10/1/2021,25,704,406,298,436,268,256,118,150,78,70,48
10/22/2021,10/1/2021,26,704,406,298,405,299,232,125,174,78,71,52
10/22/2021,10/1/2021,27,704,406,298,461,243,270,107,136,78,68,39
10/22/2021,10/1/2021,28,704,406,298,423,281,241,116,165,78,64,45
10/22/2021,10/1/2021,29,704,406,298,414,290,232,116,174,78,65,46
10/22/2021,10/1/2021,30,704,406,298,440,264,264,122,142,78,70,47
10/22/2021,10/1/2021,31,704,406,298,407,297,231,122,175,78,63,38
10/22/2021,10/1/2021,32,704,406,298,444,260,254,108,152,78,68,44
10/22/2021,10/1/2021,33,704,406,298,443,261,258,113,148,78,69,41
10/22/2021,10/1/2021,34,704,406,298,466,238,263,95,143,78,69,54
10/22/2021,10/1/2021,35,704,406,298,436,268,237,99,169,78,65,50
10/22/2021,10/1/2021,36,704,406,298,398,306,232,132,174,78,66,36
10/22/2021,10/1/2021,37,704,406,298,392,312,220,126,186,78,59,44
10/22/2021,10/1/2021,38,704,406,298,401,303,244,141,162,78,63,41
10/22/2021,10/1/2021,39,704,406,298,451,253,261,108,145,78,71,48
10/22/2021,10/1/2021,40,704,406,298,464,240,257,91,149,78,67,55
10/22/2021,10/1/2021,41,704,406,298,443,261,259,114,147,78,77,45
10/22/2021,10/1/2021,42,704,406,298,407,297,232,123,174,78,64,45
10/22/2021,10/1/2021,43,704,406,298,390,314,224,132,182,78,63,40
10/22/2021,10/1/2021,44,704,406,298,419,285,245,124,161,78,74,49
10/22/2021,10/1/2021,45,704,406,298,444,260,260,114,146,78,74,49
10/22/2021,10/1/2021,46,704,406,298,436,268,254,116,152,78,79,50
10/22/2021,10/1/2021,47,704,406,298,413,291,239,124,167,78,70,44
10/22/2021,10/1/2021,48,704,406,298,434,270,256,120,150,78,75,53
10/22/2021,10/1/2021,49,704,406,298,423,281,245,120,161,78,63,46
10/22/2021,10/1/2021,50,704,406,298,442,262,257,113,149,78,76,49
10/22/2021,10/1/2021,51,704,406,298,445,259,248,101,158,78,73,52
10/22/2021,10/1/2021,52,704,406,298,410,294,223,111,183,78,64,49
10/22/2021,10/1/2021,53,704,406,298,439,265,249,108,157,78,66,51
10/22/2021,10/1/2021,54,704,406,298,424,280,244,118,162,78,71,47
10/22/2021,10/1/2021,55,704,406,298,420,284,229,107,177,78,59,52
10/22/2021,10/1/2021,56,704,406,298,381,323,215,132,191,78,55,40
10/22/2021,10/1/2021,57,704,406,298,448,256,268,118,138,78,72,47
10/22/2021,10/1/2021,58,704,406,298,435,269,241,104,165,78,64,50
10/22/2021,10/1/2021,59,704,406,298,423,281,237,112,169,78,63,54
10/22/2021,10/1/2021,60,704,406,298,432,272,250,116,156,78,70,49
10/22/2021,10/1/2021,61,704,406,298,425,279,245,118,161,78,63,46
10/22/2021,10/1/2021,62,704,406,298,427,277,233,104,173,78,65,50
10/22/2021,10/1/2021,63,704,406,298,416,288,244,126,162,78,74,47
10/22/2021,10/1/2021,64,704,406,298,405,299,234,127,172,78,74,46
10/22/2021,10/1/2021,65,704,406,298,458,246,277,117,129,78,77,49
10/22/2021,10/1/2021,66,704,406,298,420,284,242,120,164,78,67,40
10/22/2021,10/1/2021,67,704,406,298,428,276,249,119,157,78,63,44
10/22/2021,10/1/2021,68,704,406,298,434,270,251,115,155,78,72,48
10/22/2021,10/1/2021,69,704,406,298,445,259,245,98,161,78,64,52
10/22/2021,10/1/2021,70,704,406,298,432,272,257,123,149,78,74,39
10/22/2021,10/1/2021,71,704,406,298,395,309,240,143,166,78,66,42
10/22/2021,10/1/2021,72,704,406,298,414,290,238,122,168,78,67,40
10/22/2021,10/1/2021,73,704,406,298,414,290,237,121,169,78,66,48
10/22/2021,10/1/2021,74,704,406,298,412,292,230,116,176,78,65,46
10/22/2021,10/1/2021,75,704,406,298,416,288,232,114,174,78,62,49
10/22/2021,10/1/2021,76,704,406,298,444,260,251,105,155,78,67,55
10/22/2021,10/1/2021,77,704,406,298,403,301,240,135,166,78,66,41
10/22/2021,10/1/2021,78,704,406,298,419,285,248,127,158,78,70,43
10/22/2021,10/1/2021,79,704,406,298,362,342,216,152,190,78,53,44
10/22/2021,10/1/2021,80,704,406,298,427,277,249,120,157,78,76,44
10/22/2021,10/1/2021,81,704,406,298,432,272,247,113,159,78,69,53
10/22/2021,10/1/2021,82,704,406,298,471,233,277,104,129,78,77,53
10/22/2021,10/1/2021,83,704,406,298,426,278,243,115,163,78,71,49
10/22/2021,10/1/2021,84,704,406,298,424,280,232,106,174,78,64,51
10/22/2021,10/1/2021,85,704,406,298,414,290,227,111,179,78,66,52
10/22/2021,10/1/2021,86,704,406,298,441,263,259,116,147,78,75,46
10/22/2021,10/1/2021,87,704,406,298,422,282,252,128,154,78,72,46
10/22/2021,10/1/2021,88,704,406,298,416,288,246,128,160,78,69,47
10/22/2021,10/1/2021,89,704,406,298,462,242,261,97,145,78,75,54
10/22/2021,10/1/2021,90,704,406,298,473,231,276,101,130,78,76,47
10/22/2021,10/4/2021,1,705,406,299,406,299,244,137,162,79,65,46
10/22/2021,10/4/2021,2,705,406,299,415,290,232,116,174,79,61,44
10/22/2021,10/4/2021,3,705,406,299,439,266,246,106,160,79,70,57
10/22/2021,10/4/2021,4,705,406,299,433,272,257,123,149,79,74,49
10/22/2021,10/4/2021,5,705,406,299,439,266,244,104,162,79,64,52
10/22/2021,10/4/2021,6,705,406,299,456,249,252,95,154,79,65,48
10/22/2021,10/4/2021,7,705,406,299,411,294,232,120,174,79,66,47
10/22/2021,10/4/2021,8,705,406,299,449,256,259,109,147,79,69,47
10/22/2021,10/4/2021,9,705,406,299,419,286,231,111,175,79,60,47
10/22/2021,10/4/2021,10,705,406,299,410,295,235,124,171,79,63,46
10/22/2021,10/4/2021,11,705,406,299,406,299,236,129,170,79,65,45
10/22/2021,10/4/2021,12,705,406,299,439,266,260,120,146,79,65,45
10/22/2021,10/4/2021,13,705,406,299,456,249,263,106,143,79,78,52
10/22/2021,10/4/2021,14,705,406,299,417,288,236,118,170,79,67,45
10/22/2021,10/4/2021,15,705,406,299,470,235,271,100,135,79,77,54
10/22/2021,10/4/2021,16,705,406,299,440,265,262,121,144,79,70,50
10/22/2021,10/4/2021,17,705,406,299,395,310,232,136,174,79,67,46
10/22/2021,10/4/2021,18,705,406,299,413,292,232,118,174,79,55,48
10/22/2021,10/4/2021,19,705,406,299,426,279,247,120,159,79,60,51
10/22/2021,10/4/2021,20,705,406,299,442,263,255,112,151,79,65,49
10/22/2021,10/4/2021,21,705,406,299,441,264,260,118,146,79,75,51
10/22/2021,10/4/2021,22,705,406,299,436,269,257,120,149,79,70,50
10/22/2021,10/4/2021,23,705,406,299,427,278,250,122,156,79,73,51
10/22/2021,10/4/2021,24,705,406,299,428,277,241,112,165,79,70,52
10/22/2021,10/4/2021,25,705,406,299,436,269,256,119,150,79,70,48
10/22/2021,10/4/2021,26,705,406,299,405,300,232,126,174,79,71,52
10/22/2021,10/4/2021,27,705,406,299,461,244,270,108,136,79,68,39
10/22/2021,10/4/2021,28,705,406,299,423,282,241,117,165,79,64,45
10/22/2021,10/4/2021,29,705,406,299,414,291,232,117,174,79,65,46
10/22/2021,10/4/2021,30,705,406,299,440,265,264,123,142,79,70,47
10/22/2021,10/4/2021,31,705,406,299,407,298,231,123,175,79,63,38
10/22/2021,10/4/2021,32,705,406,299,445,260,254,108,152,79,68,45
10/22/2021,10/4/2021,33,705,406,299,444,261,258,113,148,79,69,42
10/22/2021,10/4/2021,34,705,406,299,467,238,263,95,143,79,69,55
10/22/2021,10/4/2021,35,705,406,299,437,268,237,99,169,79,65,51
10/22/2021,10/4/2021,36,705,406,299,399,306,232,132,174,79,66,37
10/22/2021,10/4/2021,37,705,406,299,392,313,220,127,186,79,59,44
10/22/2021,10/4/2021,38,705,406,299,401,304,244,142,162,79,63,41
10/22/2021,10/4/2021,39,705,406,299,452,253,261,108,145,79,71,49
10/22/2021,10/4/2021,40,705,406,299,464,241,257,92,149,79,67,55
10/22/2021,10/4/2021,41,705,406,299,444,261,259,114,147,79,77,46
10/22/2021,10/4/2021,42,705,406,299,407,298,232,124,174,79,64,45
10/22/2021,10/4/2021,43,705,406,299,391,314,224,132,182,79,63,41
10/22/2021,10/4/2021,44,705,406,299,419,286,245,125,161,79,74,49
10/22/2021,10/4/2021,45,705,406,299,445,260,260,114,146,79,74,50
10/22/2021,10/4/2021,46,705,406,299,436,269,254,117,152,79,79,50
10/22/2021,10/4/2021,47,705,406,299,414,291,239,124,167,79,70,45
10/22/2021,10/4/2021,48,705,406,299,435,270,256,120,150,79,75,54
10/22/2021,10/4/2021,49,705,406,299,423,282,245,121,161,79,63,46
10/22/2021,10/4/2021,50,705,406,299,443,262,257,113,149,79,76,50
10/22/2021,10/4/2021,51,705,406,299,445,260,248,102,158,79,73,52
10/22/2021,10/4/2021,52,705,406,299,410,295,223,112,183,79,64,49
10/22/2021,10/4/2021,53,705,406,299,439,266,249,109,157,79,66,51
10/22/2021,10/4/2021,54,705,406,299,424,281,244,119,162,79,71,47
10/22/2021,10/4/2021,55,705,406,299,420,285,229,108,177,79,59,52
10/22/2021,10/4/2021,56,705,406,299,382,323,215,132,191,79,55,41
10/22/2021,10/4/2021,57,705,406,299,448,257,268,119,138,79,72,47
10/22/2021,10/4/2021,58,705,406,299,436,269,241,104,165,79,64,51
10/22/2021,10/4/2021,59,705,406,299,424,281,237,112,169,79,63,55
10/22/2021,10/4/2021,60,705,406,299,432,273,250,117,156,79,70,49
10/22/2021,10/4/2021,61,705,406,299,425,280,245,119,161,79,63,46
10/22/2021,10/4/2021,62,705,406,299,428,277,233,104,173,79,65,51
10/22/2021,10/4/2021,63,705,406,299,416,289,244,127,162,79,74,47
10/22/2021,10/4/2021,64,705,406,299,405,300,234,128,172,79,74,46
10/22/2021,10/4/2021,65,705,406,299,459,246,277,117,129,79,77,50
10/22/2021,10/4/2021,66,705,406,299,420,285,242,121,164,79,67,40
10/22/2021,10/4/2021,67,705,406,299,429,276,249,119,157,79,63,45
10/22/2021,10/4/2021,68,705,406,299,434,271,251,116,155,79,72,48
10/22/2021,10/4/2021,69,705,406,299,446,259,245,98,161,79,64,53
10/22/2021,10/4/2021,70,705,406,299,433,272,257,123,149,79,74,40
10/22/2021,10/4/2021,71,705,406,299,396,309,240,143,166,79,66,43
10/22/2021,10/4/2021,72,705,406,299,414,291,238,123,168,79,67,40
10/22/2021,10/4/2021,73,705,406,299,415,290,237,121,169,79,66,49
