RunDate,PeriodEndDate,FeatureLag,EquityDays,EquityDaysPositive,EquityDaysNegative,StrategyDaysInEquity,StrategyDaysInCash,StrategyCapturePositive,StrategyCaptureNegative,EquityDays>=1%,EquityDays<=-1%,StrategyCaptureExtremePositive,StrategyCaptureExtremeNegative
10/23/2021,10/1/2021,1,704,406,298,453,251,276,121,130,78,74,45
10/23/2021,10/1/2021,2,704,406,298,452,252,260,106,146,78,64,50
10/23/2021,10/1/2021,3,704,406,298,484,220,276,90,130,78,81,55
10/23/2021,10/1/2021,4,704,406,298,465,239,273,106,133,78,80,51
10/23/2021,10/1/2021,5,704,406,298,481,223,273,90,133,78,75,57
10/23/2021,10/1/2021,6,704,406,298,474,230,261,85,145,78,70,50
10/23/2021,10/1/2021,7,704,406,298,431,273,244,111,162,78,76,54
10/23/2021,10/1/2021,8,704,406,298,497,207,287,88,119,78,79,50
10/23/2021,10/1/2021,9,704,406,298,463,241,258,93,148,78,65,51
10/23/2021,10/1/2021,10,704,406,298,440,264,265,123,141,78,74,46
10/23/2021,10/1/2021,11,704,406,298,457,247,266,107,140,78,75,52
10/23/2021,10/1/2021,12,704,406,298,483,221,280,95,126,78,73,49
10/23/2021,10/1/2021,13,704,406,298,506,198,296,88,110,78,83,57
10/23/2021,10/1/2021,14,704,406,298,461,243,265,102,141,78,76,48
10/23/2021,10/1/2021,15,704,406,298,513,191,297,82,109,78,80,60
10/23/2021,10/1/2021,16,704,406,298,474,230,276,100,130,78,74,53
10/23/2021,10/1/2021,17,704,406,298,420,284,249,127,157,78,71,47
10/23/2021,10/1/2021,18,704,406,298,432,272,238,104,168,78,60,48
10/23/2021,10/1/2021,19,704,406,298,468,236,270,100,136,78,70,53
10/23/2021,10/1/2021,20,704,406,298,490,214,276,84,130,78,77,57
10/23/2021,10/1/2021,21,704,406,298,475,229,279,102,127,78,80,53
10/23/2021,10/1/2021,22,704,406,298,470,234,270,98,136,78,72,55
10/23/2021,10/1/2021,23,704,406,298,469,235,270,99,136,78,74,53
