FeatureLag,n_estimators,min_samples_split,max_features,max_depth
1,359.8,35.8,2.6,3033.6
2,628.2,21.4,2.6,1867.2
3,471.6,34.4,2.2,2194.8
4,357.4,27.0,2.0,2073.4
5,459.2,35.0,3.2,4448.6
6,534.6,41.8,3.4,1626.4
7,470.8,8.0,3.4,1899.6
8,228.6,42.6,1.8,1586.4
9,459.6,42.0,1.6,3136.0
10,381.0,40.2,2.2,3270.6
11,630.8,47.4,2.8,2652.2
12,384.0,24.8,2.6,3436.0
13,606.2,23.2,2.8,2349.8
14,533.0,41.2,3.0,3657.2
15,480.6,29.8,1.2,2938.8
16,396.8,32.6,1.8,2814.6
17,180.2,27.4,2.0,2433.6
18,607.4,7.4,2.0,3965.4
19,593.6,42.2,3.6,3387.6
20,635.8,26.8,2.2,2654.8
21,442.6,27.2,2.0,2552.0
22,371.0,29.6,1.8,2585.8
23,585.6,41.8,3.8,2680.4
24,504.4,32.4,2.6,4747.6
25,443.2,34.6,2.2,3823.6
26,295.2,25.2,2.6,3175.8
27,632.6,40.4,2.2,2965.8
28,533.6,39.6,2.4,2178.0
29,484.4,40.6,2.4,3594.0
30,457.8,34.0,1.0,2984.6
31,444.4,44.0,4.0,2343.2
32,474.8,43.0,2.2,2860.8
33,345.2,37.2,1.6,2707.2
34,294.0,30.0,2.8,1229.4
35,373.8,26.0,3.6,2738.6
36,266.0,19.2,3.4,2884.4
37,723.0,45.2,3.0,3573.2
38,498.0,10.4,2.0,4332.0
39,377.8,16.6,3.4,2670.6
40,492.2,40.0,2.4,2608.2
41,449.4,18.8,1.4,3877.6
42,512.2,36.4,3.2,1924.4
43,506.0,37.4,1.8,2454.2
44,173.2,38.8,2.6,2627.4
45,608.4,30.2,3.0,3193.0
46,417.8,31.8,1.8,5412.0
47,525.6,33.8,3.0,2993.8
48,349.8,40.0,2.4,2781.6
49,774.8,35.8,4.2,2453.0
50,512.2,22.6,1.6,2454.2
51,451.2,35.0,1.4,2956.8
52,291.6,45.4,2.8,3043.8
53,538.0,36.2,1.4,3793.8
54,530.2,41.6,2.2,3123.4
55,407.6,30.8,1.8,2744.6
56,606.8,35.0,2.2,2727.2
57,579.2,32.0,1.8,3286.2
58,574.4,21.2,3.0,2516.6
59,539.4,31.4,4.8,2947.8
60,436.2,34.6,2.2,3829.2
61,715.4,33.4,2.6,2749.0
62,411.2,33.8,1.6,3266.4
63,495.6,26.0,4.0,3064.4
64,773.0,27.8,2.6,3156.8
65,498.4,41.2,2.4,2200.6
66,491.4,40.2,3.4,4649.0
67,590.0,8.6,4.0,2585.8
68,527.6,13.2,4.2,3110.8
69,697.8,33.8,3.2,2935.6
70,409.6,23.4,2.4,3214.2
71,421.4,20.8,1.8,2221.8
72,790.0,39.8,4.0,2318.6
73,165.8,18.6,2.4,3304.4
74,375.2,20.6,1.6,2769.6
75,393.2,36.2,1.4,2567.2
76,446.4,42.4,2.6,2007.8
77,387.0,8.0,2.4,3974.4
78,537.2,34.8,3.4,2202.0
79,413.8,35.2,2.6,1511.2
80,672.0,32.6,2.8,2314.2
81,686.2,21.2,3.4,3290.8
82,489.6,32.8,2.4,1169.2
83,639.0,35.2,2.4,2222.2
84,540.4,37.6,2.8,3721.4
85,471.6,25.0,2.2,2747.4
86,464.4,38.8,1.6,3223.6
87,571.8,22.2,3.0,2868.0
88,828.2,42.4,4.2,2631.8
89,232.0,32.4,4.2,2678.6
90,479.0,43.6,2.8,3501.8
